"CO_SEQ_ID";"NU_ISID";"NO_NM";"NO_NM_PT_BR";"CO_DCBCD";"CO_NCAS";"NO_DESCR_PT_BR"
"6644";"@brasil15106906475";"abacavir";"abacavir";"00001";"136470-78-5";"DCB"
"6645";"@brasil15950214596";"abatacept";"abatacepte";"09580";"332348-12-6";"DCB"
"6646";"@brasil14430353867";"abciximab";"abciximabe";"00008";"143653-53-6";"DCB"
"6647";"@brasil14301125856";"abies nigra";"abies nigra";"10085";\N;"DCB"
"6648";"@brasil18214567989";"abiraterone";"abiraterona";"10008";"154229-19-3";"DCB"
"6649";"@brasil18169462686";"acamprosate";"acamprosato";"00015";"77337-76-9";"DCB"
"6650";"@brasil16203609774";"acarbose";"acarbose";"00017";"56180-94-0";"DCB"
"6651";"@brasil16509661120";"acebrophylline";"acebrofilina";"00019";"179118-73-1";"DCB"
"6652";"@brasil13937476586";"acebutolol";"acebutolol";"00020";"37517-30-9";"DCB"
"6653";"@brasil10158399882";"aceclofenac";"aceclofenaco";"00027";"89796-99-6";"DCB"
"6654";"@brasil18979569959";"acefilinato de heptaminol";"acefilinato de heptaminol";"04614";"5152-72-7";"DCB"
"6655";"@brasil14422650460";"acemetacin";"acemetacina";"00040";"53164-05-9";"DCB"
"6656";"@brasil15174542733";"acenocoumarol";"acenocumarol";"00041";"152-72-7";"DCB"
"6657";"@brasil12604762596";"aceponato de hidrocortisona";"aceponato de hidrocortisona";"04665";"74050-20-7";"DCB"
"6658";"@brasil17500185086";"methylprednisolone aceponate";"aceponato de metilprednisolona";"05813";"86401-95-8";"DCB"
"6659";"@brasil19686637956";"acepromazine";"acepromazina";"00044";"61-00-7";"DCB"
"6660";"@brasil15932634830";"acetanilide";"acetanilida";"00050";"103-84-4";"DCB"
"6661";"@brasil10603260592";"acetarsol";"acetarsol";"00051";"97-44-9";"DCB"
"6662";"@brasil15218398779";"abiraterone acetate";"acetato de abiraterona";"10009";"154229-18-2";"DCB"
"6663";"@brasil14282212427";"alphadolone acetate";"acetato de alfadolona";"00504";"23930-37-2";"DCB"
"6664";"@brasil15755866108";"aluminium acetate";"acetato de alumínio";"00054";"139-12-8";"DCB"
"6665";"@brasil15932693569";"ammonium acetate";"acetato de amônio";"00055";"631-61-8";"DCB"
"6666";"@brasil12395869829";"atosiban acetate";"acetato de atosibana";"09558";"914453-95-5";"DCB"
"6667";"@brasil14181268748";"bazedoxifene acetate";"acetato de bazedoxifeno";"11082";"198481-33-3";"DCB"
"6668";"@brasil13718734562";"betamethasone acetate";"acetato de betametasona";"01214";"987-24-6";"DCB"
"6669";"@brasil16049866875";"buserelin acetate";"acetato de busserrelina";"01567";"68630-75-1";"DCB"
"6670";"@brasil19093131001";"butyl acetate";"acetato de butila";"10612";"123-86-4";"DCB"
"6671";"@brasil17316054688";"calcium acetate";"acetato de cálcio";"09629";"62-54-4";"DCB"
