"CO_SEQ_ID";"NU_VPID";"NO_NM";"principio";"cat_anvisa";"renam";"NU_SNOMED";"atc";"route";"ingredientes_conc_unid";"form"
"248158";"@brasil12070954154";"Abacavir 20 mg/mL solução oral";"Abacavir";"Antiviróticos";"Estratégico";"324881002";"J05AF06 abacavir";"Oral";\N;"Solução oral"
"23287";"@brasil12751888652";"Abacavir 300 mg comprimido";"Abacavir";"Antiviróticos";"Estratégico";"324880001";"J05AF06 abacavir";"Oral";"sulfato de abacavir 300.000 mg (Miligrama)";"Comprimido"
"322547";"@brasil14258676378";"Abacavir 600 mg + Lamivudina 300 mg comprimido";"Abacavir + Lamivudina";"Antiviróticos";\N;\N;"J05AR02 lamivudina e abacavir";"Oral";"lamivudina 300.000 mg (Miligrama),sulfato de abacavir 600.000 mg (Miligrama)";"Comprimido"
"350954";"@brasil15224574230";"Abatacepte 125 mg/1 mL solução para injeção; seringa preenchida";"Abatacepte";"Antinflamatórios antireumáticos";"Especializado";\N;"L04AA24 abatacepte";"Subcutânea";"abatacepte 125.000 mg (Miligrama)";"Solução para injeção"
"780271";"@brasil13729806302";"Abatacepte 250 mg pó para solução para injeção; frasco-ampola";"Abatacepte";"Antinflamatórios antireumáticos";"Especializado";\N;"L04AA24 abatacepte";"Intravenosa";"abatacepte 250.000 mg (Miligrama)";"Pó para solução para injeção"
"665916";"@brasil10440089348";"Abatacepte 250 mg pó para suspensão para injeção; frasco-ampola";"Abatacepte";"Antinflamatórios antireumáticos";"Especializado";\N;"L04AA24 abatacepte";"Intravenosa,Subcutânea";"abatacepte 250.000 mg (Miligrama)";"Pó para suspensão para injeção"
"780293";"@brasil16177720655";"Abciximabe 10 mg/5 mL solução para injeção; frasco-ampola";"Abciximabe";"Antitrombótico";"Uso Hospitalar";"319794009";"B01AC13 abciximabe";"Intravenosa";"abciximabe 2.000 mg (Miligrama)";"Solução para injeção"
"23297";"@brasil10731260971";"Abiraterona 250 mg comprimido";"Abiraterona";"Outros antineoplásicos";\N;"703904004";"L02BX03 abiraterona";"Oral";"acetato de abiraterona 250.000 mg (Miligrama)";"Comprimido"
"23304";"@brasil15400639207";"Acarbose 100 mg comprimido";"Acarbose";"Antidiabéticos";\N;"326038002";"A10BF01 acarbose";"Oral";"acarbose 100.000 mg (Miligrama)";"Comprimido"
"23311";"@brasil14809413434";"Acarbose 50 mg comprimido";"Acarbose";"Antidiabéticos";\N;"326037007";"A10BF01 acarbose";"Oral";"acarbose 50.000 mg (Miligrama)";"Comprimido"
"282112";"@brasil11225715326";"Acebrofilina 10 mg/mL xarope";"Acebrofilina";"Broncodilatadores";\N;\N;\N;"Oral";"acebrofilina 10.000 mg (Miligrama)";"Xarope"
