resource_type,id,name,company,website,location,public_access,logo_url,description,text,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],name_type,name_locale
Concept,mild,Mild,,,eng,,,Causes mild physiological effects.,,,HL7,Organization,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,Text,Misc,reaction-event-severity,,,,,Fully Specified,eng
Concept,moderate,Moderate,,,eng,,,Causes moderate physiological effects.,,,HL7,Organization,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,Text,Misc,reaction-event-severity,,,,,Fully Specified,eng
Concept,severe,Severe,,,eng,,,Causes severe physiological effects.,,,HL7,Organization,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,Text,Misc,reaction-event-severity,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,Text,Misc,reaction-event-severity,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,Text,Misc,reaction-event-severity,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,TRUE,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
