resource_type,id,name,company,website,location,public_access,logo_url,description,text,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],name_type,name_locale
Concept,working,Working List,,,eng,,,"This list is the master list, maintained in an ongoing fashion with regular updates as the real world list it is tracking changes.",,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,list-mode,,,,,Fully Specified,eng
Concept,snapshot,Snapshot List,,,eng,,,This list was prepared as a snapshot. It should not be assumed to be current.,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,list-mode,,,,,Fully Specified,eng
Concept,changes,Change List,,,eng,,,A point-in-time list that shows what changes have been made or recommended. E.g. a discharge medication list showing what was added and removed during an encounter.,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,list-mode,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,list-mode,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
Concept,,,,,eng,,,,,,HL7,Organization,,,,,,,,,,,,,,,,,,,,,,,,Text,Misc,,,,,,Fully Specified,eng
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,br-via-administracao,,,,,
