"id";"Name";"Description";"name_en";"id_pai"
A00;Cólera;A00   Colera;Cholera;""
A01;Febres tifóide e paratifóide;A01   Febres tifoide e paratifoide;Typhoid and paratyphoid fevers;""
A02;Outras infecções por Salmonella;A02   Outr infecc p/Salmonella;Other salmonella infections;""
A03;Shiguelose;A03   Shiguelose;Shigellosis;""
A04;Outras infecções intestinais bacterianas;A04   Outr infecc intestinais bacter;Other bacterial intestinal infections;""
A05;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;A05   Outr intox alimentares bacter NCOP;Other bacterial foodborne intoxications, not elsew;""
A06;Amebíase;A06   Amebiase;Amoebiasis;""
A07;Outras doenças intestinais por protozoários;A07   Outr doenc intestinais p/protozoarios;Other protozoal intestinal diseases;""
A08;Infecções intestinais virais, outras e as não especificadas;A08   Infecc intestinais virais outr e as NE;Viral and other specified intestinal infections;""
A09;Diarréia e gastroenterite de origem infecciosa presumível;A09   Diarreia e gastroenterite orig infecc presum;Other gastroenteritis and colitis of infectious an;""
A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;A15   Tuberc respirat c/conf bacteriol e histolog;Respiratory tuberculosis, bacteriologically and hi;""
A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;A16   Tuberc vias respirat s/conf bacter histol;Respiratory tuberculosis, not confirmed bacteriolo;""
A17;Tuberculose do sistema nervoso;A17   Tuberc do sist nervoso;Tuberculosis of nervous system;""
A18;Tuberculose de outros órgãos;A18   Tuberc de outr orgaos;Tuberculosis of other organs;""
A19;Tuberculose miliar;A19   Tuberc miliar;Miliary tuberculosis;""
A20;Peste;A20   Peste;Plague;""
A21;Tularemia;A21   Tularemia;Tularaemia;""
A22;Carbúnculo;A22   Carbunculo;Anthrax;""
A23;Brucelose;A23   Brucelose;Brucellosis;""
A24;Mormo e melioidose;A24   Mormo e melioidose;Glanders and melioidosis;""
A25;Febres transmitidas por mordedura de rato;A25   Febres transm p/mordedura de rato;Rat-bite fevers;""
A26;Erisipelóide;A26   Erisipeloide;Erysipeloid;""
A27;Leptospirose;A27   Leptospirose;Leptospirosis;""
A28;Outras doenças bacterianas zoonóticas não classificadas em outra parte;A28   Outr doenc bacter zoonoticas NCOP;Other zoonotic bacterial diseases, not elsewhere c;""
A30;Hanseníase [doença de Hansen] [lepra];A30   Hanseniase;Leprosy [Hansen disease];""
A31;Infecções devidas a outras micobactérias;A31   Infecc dev outr micobacterias;Infection due to other mycobacteria;""
A32;Listeriose [listeríase];A32   Listeriose;Listeriosis;""
A33;Tétano do recém-nascido [neonatal];A33   Tetano do recem-nascido;Tetanus neonatorum;""
A34;Tétano obstétrico;A34   Tetano obstetrico;Obstetrical tetanus;""
A35;Outros tipos de tétano;A35   Outr tipos de tetano;Other tetanus;""
A36;Difteria;A36   Difteria;Diphtheria;""
A37;Coqueluche;A37   Coqueluche;Whooping cough;""
A38;Escarlatina;A38   Escarlatina;Scarlet fever;""
A39;Infecção meningogócica;A39   Infecc meningogocica;Meningococcal infection;""
A40;Septicemia estreptocócica;A40   Septicemia estreptococica;Streptococcal sepsis;""
A41;Outras septicemias;A41   Outr septicemias;Other sepsis;""
A42;Actinomicose;A42   Actinomicose;Actinomycosis;""
A43;Nocardiose;A43   Nocardiose;Nocardiosis;""
A44;Bartonelose;A44   Bartonelose;Bartonellosis;""
A46;Erisipela;A46   Erisipela;Erysipelas;""
A48;Outras doenças bacterianas não classificadas em outra parte;A48   Outr doenc bacter NCOP;Other bacterial diseases, not elsewhere classified;""
A49;Infecção bacteriana de localização não especificada;A49   Infecc bacter de localiz NE;Bacterial infection of unspecified site;""
A50;Sífilis congênita;A50   Sifilis congen;Congenital syphilis;""
A51;Sífilis precoce;A51   Sifilis precoce;Early syphilis;""
A52;Sífilis tardia;A52   Sifilis tard;Late syphilis;""
A53;Outras formas e as não especificadas da sífilis;A53   Outr form e as NE da sifilis;Other and unspecified syphilis;""
A54;Infecção gonocócica;A54   Infecc gonococica;Gonococcal infection;""
A55;Linfogranuloma (venéreo) por clamídia;A55   Linfogranuloma p/clamidia;Chlamydial lymphogranuloma (venereum);""
A56;Outras infecções causadas por clamídias transmitidas por via sexual;A56   Outr infecc p/clamidias transm p/via sexual;Other sexually transmitted chlamydial diseases;""
A57;Cancro mole;A57   Cancro mole;Chancroid;""
A58;Granuloma inguinal;A58   Granuloma inguinal;Granuloma inguinale;""
A59;Tricomoníase;A59   Tricomoniase;Trichomoniasis;""
A60;Infecções anogenitais pelo vírus do herpes [herpes simples];A60   Infecc anogenitais p/virus do herpes;Anogenital herpesviral [herpes simplex] infection;""
