resource_type,id,name,attr:Lvl,company,website,location,public_access,logo_url,description,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,description,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,unconfirmed,Não confirmado,1,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,There is not sufficient diagnostic and/or clinical evidence to treat this as a confirmed condition.,,Unconfirmed,,,,,,,,,,,,,,,,Fully Specified,por
Concept,provisional,Provisório,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,This is a tentative diagnosis - still a candidate that is under consideration.,,Provisional,,,,,,,,,,,,,,,,Fully Specified,por
Concept,differential,Diferencial,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,One of a set of potential (and typically mutually exclusive) diagnoses asserted to further guide the diagnostic process and preliminary treatment.,,Differential,,,,,,,,,,,,,,,,Fully Specified,por
Concept,confirmed,Confirmado,1,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,There is sufficient diagnostic and/or clinical evidence to treat this as a confirmed condition.,,Confirmed,,,,,,,,,,,,,,,,Fully Specified,por
Concept,refuted,Refutado,1,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,This condition has been ruled out by diagnostic and clinical evidence.,,Refuted,,,,,,,,,,,,,,,,Fully Specified,por
Concept,entered-in-error,Entrado com Erro,1,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,The statement was entered in error and is not valid.,,Entered in Error,,,,,,,,,,,,,,,,Fully Specified,por
Concept,,,,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,,,,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,,,,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,,,,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,condition-ver-status,,,,,,,,,,,,,,,,,,,Fully Specified,por
