resource_type,id,name,attr:Level,company,website,location,public_access,logo_url,description,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,description,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,type,Type,1,,,en,,,General types of reference range.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning, ,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,normal,Normal Range,2,,,en,,,Values expected for a normal member of the relevant control population being measured. Typically each results producer such as a laboratory has specific normal ranges and they are usually defined as within two standard deviations from the mean and account for 95.45% of this population.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,recommended,Recommended Range,2,,,en,,,The range that is recommended by a relevant professional body.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,treatment,Treatment Range,2,,,en,,,The range at which treatment would/should be considered.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,therapeutic,Therapeutic Desired Level,2,,,en,,,The optimal range for best therapeutic outcomes.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,pre,Pre Therapeutic Desired Level,3,,,en,,,The optimal range for best therapeutic outcomes for a specimen taken immediately before administration.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,post,Post Therapeutic Desired Level,3,,,en,,,The optimal range for best therapeutic outcomes for a specimen taken immediately after administration.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,endocrine,Endocrine,1,,,en,,,Endocrine related states that change the expected value.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,pre-puberty,Pre-Puberty,2,,,en,,,An expected range in an individual prior to puberty.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,follicular,Follicular Stage,2,,,en,,,An expected range in an individual during the follicular stage of the cycle.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,midcycle,MidCycle,2,,,en,,,An expected range in an individual during the midcycle stage of the cycle.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,luteal,Luteal,2,,,en,,,An expected range in an individual during the luteal stage of the cycle.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,postmenopausal,Post-Menopause,2,,,en,,,An expected range in an individual post-menopause.,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
Concept,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
,,,,,,en,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
,,,,,,,,,,,,,HL7,Organization,,EN,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,referencerange-meaning,,,,,,,,,,,,,,,,,,,Fully Specified,en
