resource_type,id,name,attr:Level,company,website,location,public_access,logo_url,description,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,description,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,CAR,Portador,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,The patient is considered as carrier based on the testing results. A carrier is an individual who carries an altered form of a gene which can lead to having a child or offspring in future generations with a genetic disorder.,,Carrier,,,,,,,,,,,,,,,,Fully Specified,por
Concept,B,Melhora,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,The current result or observation value has improved compared to the previous result or observation value (the change is significant as defined in the respective test procedure). [Note: This can be applied to quantitative or qualitative observations.],,Better,,,,,,,,,,,,,,,,Fully Specified,por
Concept,D,Mudança significativa negativa,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,The current result has decreased from the previous result for a quantitative observation (the change is significant as defined in the respective test procedure).,,Significant change down,,,,,,,,,,,,,,,,Fully Specified,por
Concept,U,Mudança significativa positiva,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,The current result has increased from the previous result for a quantitative observation (the change is significant as defined in the respective test procedure).,,Significant change up,,,,,,,,,,,,,,,,Fully Specified,por
Concept,W,Deterioração,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,The current result or observation value has degraded compared to the previous result or observation value (the change is significant as defined in the respective test procedure). [Note: This can be applied to quantitative or qualitative observations.],,Worse,,,,,,,,,,,,,,,,Fully Specified,por
Concept,<,Acima do limite da escala de analise,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,"The result is below the minimum detection limit (the test procedure or equipment is the limiting factor). Synonyms: Below analytical limit, low off scale.",,Off scale low,,,,,,,,,,,,,,,,Fully Specified,por
Concept,>,Abaixo do limite da escala de analise,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,"The result is above the maximum quantifiable limit (the test procedure or equipment is the limiting factor). Synonyms: Above analytical limit, high off scale.",,Off scale high,,,,,,,,,,,,,,,,Fully Specified,por
Concept,IE,Material insuficiente,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,"There is insufficient evidence that the species in question is a good target for therapy with the drug. A categorical interpretation is not possible. [Note: A MIC with ""IE"" and/or a comment may be reported (without an accompanying S, I or R-categorization).]",,Insufficient evidence,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A,Anormal,2,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,The result or observation value is outside the reference range or expected norm (as defined for the respective test procedure). [Note: Typically applies to non-numeric results.],,Abnormal,,,,,,,,,,,,,,,,Fully Specified,por
Concept,AA,Criticidade alta,3,,,por,,,,,,,HL7,Organization,,por,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,v3-ObservationInterpretation,The result or observation value is outside a reference range or expected norm at a level at which immediate action should be considered for patient safety (as defined for the respective test procedure). [Note: Typically applies to non-numeric results. Analogous to critical/panic limits for numeric results.],,Critical abnormal,,,,,,,,,,,,,,,,Fully Specified,por
