Co Seq ID,Nu Cd,No Descr,No Descr Pt Br,Co Parent,St Hierarchy Level,Au Audit Create Datetime,Au Audit Change Datetime,Au Audit Create Username,Au Audit Change Username,Nu Version,St Registro Ativo,St Change Approve
911,A,trato alimentar e metabolismo,trato alimentar e metabolismo,,1,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
912,A01,preparações estomatológicas,preparações estomatológicas,911,2,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
913,A01A,preparações estomatológicas,preparações estomatológicas,912,3,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
914,A01AA,agentes profiláticos da cárie,agentes profiláticos da cárie,913,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
915,A01AA01,fluoreto de sódio,fluoreto de sódio,914,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
916,A01AA02,monofluorfosfato de sódio,monofluorfosfato de sódio,914,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
917,A01AA03,olaflur,olaflur,914,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
918,A01AA04,fluoreto de estanho,fluoreto de estanho,914,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
919,A01AA30,associações,associações,914,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
920,A01AA51,"fluoreto de sódio, associações contendo","fluoreto de sódio, associações contendo",914,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
921,A01AB,antiinfeciosos e anti-sépticos para tratamento oral local,antiinfeciosos e anti-sépticos para tratamento oral local,913,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
922,A01AB02,peróxido de hidrogênio,peróxido de hidrogênio,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
923,A01AB03,clorexidina,clorexidina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
924,A01AB04,anfotericina b,anfotericina b,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
925,A01AB05,polinoxilina,polinoxilina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
926,A01AB06,domifeno,domifeno,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
927,A01AB07,hidroxiquinolina,hidroxiquinolina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
928,A01AB08,neomicina,neomicina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
929,A01AB09,miconazol,miconazol,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
930,A01AB10,natamicina,natamicina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
931,A01AB11,vários,vários,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
932,A01AB12,hexetidina,hexetidina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
933,A01AB13,tetraciclina,tetraciclina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
934,A01AB14,cloreto de benzoxônio,cloreto de benzoxônio,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
935,A01AB15,iodeto de tibezônio,iodeto de tibezônio,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
936,A01AB16,mepartricina,mepartricina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
937,A01AB17,metronidazol,metronidazol,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
938,A01AB18,clotrimazol,clotrimazol,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
939,A01AB19,perborato de sódio,perborato de sódio,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
940,A01AB21,clortetraciclina,clortetraciclina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
941,A01AB22,doxiciclina,doxiciclina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
942,A01AB23,minociclina,minociclina,921,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
943,A01AC,corticosteróides para tratamento oral local,corticosteróides para tratamento oral local,913,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
944,A01AC01,triancinolona,triancinolona,943,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
945,A01AC02,dexametasona,dexametasona,943,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
946,A01AC03,hidrocortisona,hidrocortisona,943,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
947,A01AC54,"prednisolona, associações contendo","prednisolona, associações contendo",943,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
948,A01AD,outros agentes para tratamento oral local,outros agentes para tratamento oral local,913,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
949,A01AD01,epinefrina,epinefrina,948,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
950,A01AD02,benzidamina,benzidamina,948,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
951,A01AD05,ácido acetilsalicílico,ácido acetilsalicílico,948,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
952,A01AD06,adrenalona,adrenalona,948,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
953,A01AD07,anlexanox,anlexanox,948,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
954,A01AD11,vários,vários,948,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
955,A02,medicamentos para transtornos relacionados à acidez,medicamentos para transtornos relacionados à acidez,911,2,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
956,A02A,antiácidos,antiácidos,955,3,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
957,A02AA,compostos de magnésio,compostos de magnésio,956,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
958,A02AA01,carbonato de magnésio,carbonato de magnésio,957,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
959,A02AA02,óxido de magnésio,óxido de magnésio,957,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
960,A02AA03,peróxido de magnésio,peróxido de magnésio,957,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
961,A02AA04,hidróxido de magnésio,hidróxido de magnésio,957,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
962,A02AA05,silicato de magnésio,silicato de magnésio,957,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
963,A02AA10,associações,associações,957,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
964,A02AB,compostos de alumínio usados como antiácidos,compostos de alumínio usados como antiácidos,956,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
965,A02AB01,hidróxido de alumínio,hidróxido de alumínio,964,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
966,A02AB02,algeldrato,algeldrato,964,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
967,A02AB03,fosfato de alumínio,fosfato de alumínio,964,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
968,A02AB04,carbonato sódico de dihidroxialumínio,carbonato sódico de dihidroxialumínio,964,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
969,A02AB05,acetoacetato de alumínio,acetoacetato de alumínio,964,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
970,A02AB06,aloglutamol,aloglutamol,964,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
971,A02AB07,glicinato de alumínio,glicinato de alumínio,964,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
972,A02AB10,associações,associações,964,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
973,A02AC,compostos de cálcio usados como antiácidos,compostos de cálcio usados como antiácidos,956,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
974,A02AC01,carbonato de cálcio,carbonato de cálcio,973,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
975,A02AC02,silicato de cálcio,silicato de cálcio,973,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
976,A02AC10,associações,associações,973,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
977,A02AD,"associações e complexos de sais de alumínio, cálcio e magnésio","associações e complexos de sais de alumínio, cálcio e magnésio",956,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
978,A02AD01,"associações  de sais simples de alumínio, cálcio e magnésio","associações  de sais simples de alumínio, cálcio e magnésio",977,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
979,A02AD02,magaldrato,magaldrato,977,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
980,A02AD03,almagato,almagato,977,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
981,A02AD04,hidrotalcita,hidrotalcita,977,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
982,A02AD05,almasilato,almasilato,977,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
983,A02AF,antiácidos contendo antiflatulentos,antiácidos contendo antiflatulentos,956,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
984,A02AF01,magaldrato e antiflatulentos,magaldrato e antiflatulentos,983,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
985,A02AF02,"associações de sais simples de alumínio, cálcio e magnésio associados com antiflatulentos","associações de sais simples de alumínio, cálcio e magnésio associados com antiflatulentos",983,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
986,A02AG,antiácidos associados com antiespasmódicos,antiácidos associados com antiespasmódicos,956,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
987,A02AH,antiácidos com bicarbonato de sódio,antiácidos com bicarbonato de sódio,956,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
988,A02AX,outras associações de antiácidos,outras associações de antiácidos,956,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
989,A02B,medicamentos para úlcera péptica e doenças de refluxo gastresofágico,medicamentos para úlcera péptica e doenças de refluxo gastresofágico,955,3,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
990,A02BA,antagonistas do receptor h2,antagonistas do receptor h2,989,4,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
991,A02BA01,cimetidina,cimetidina,990,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
992,A02BA02,ranitidina,ranitidina,990,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
993,A02BA03,famotidina,famotidina,990,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
994,A02BA04,nizatidina,nizatidina,990,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
995,A02BA05,niperotidina,niperotidina,990,5,2017-01-23T11:32:32Z,2017-01-23T11:32:32Z,anonymous,anonymous,0,ACTIVE,APPROVED
