"uuid","id","external_id","concept_class","datatype","url","retired","source","owner","owner_type","owner_url","display_name","display_locale","version","update_comment","locale","version_created_by","version_created_on","is_latest_version","versions_url","version_url","type","versioned_object_id"
"81901","99","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/99/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Outro","en","81901","null","null","bfleao","2023-03-02T18:05:13.710834Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/99/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/99/81906/","Concept","81901"
"81902","19","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/19/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Face Anterolateral Externa do Braço Direito","por","81902","null","null","bfleao","2023-03-02T18:05:13.716196Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/19/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/19/81904/","Concept","81902"
"81898","18","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/18/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Face Anterolateral Externa da Coxa Esquerda","por","81898","null","null","bfleao","2023-03-02T18:05:13.669995Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/18/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/18/81900/","Concept","81898"
"81897","9","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/9/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Boca","por","81897","null","null","bfleao","2023-03-02T18:05:13.659745Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/9/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/9/81899/","Concept","81897"
"81893","8","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/8/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Ferimento Local","por","81893","null","null","bfleao","2023-03-02T18:05:13.616881Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/8/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/8/81895/","Concept","81893"
"81890","16","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/16/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Rede Venosa","por","81890","null","null","bfleao","2023-03-02T18:05:13.586322Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/16/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/16/81892/","Concept","81890"
"81889","7","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/7/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Glúteo (descontinuado)","por","81889","null","null","bfleao","2023-03-02T18:05:13.568455Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/7/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/7/81891/","Concept","81889"
"81887","15","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/15/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Face Externa Superior do Braço Esquerdo","por","81887","null","null","bfleao","2023-03-02T18:05:13.540404Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/15/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/15/81888/","Concept","81887"
"81885","6","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/6/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Ventroglúteo Esquerdo","por","81885","null","null","bfleao","2023-03-02T18:05:13.521305Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/6/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/6/81886/","Concept","81885"
"81883","14","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/14/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Face Externa Superior do Braço Direito","por","81883","null","null","bfleao","2023-03-02T18:05:13.491419Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/14/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/14/81884/","Concept","81883"
"81881","5","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/5/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Ventroglúteo Direito","por","81881","null","null","bfleao","2023-03-02T18:05:13.470264Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/5/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/5/81882/","Concept","81881"
"81878","13","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/13/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Face Externa Inferior do Braço Esquerdo","por","81878","null","null","bfleao","2023-03-02T18:05:13.436068Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/13/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/13/81880/","Concept","81878"
"81877","4","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/4/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Vasto Lateral da Coxa Esquerda","por","81877","null","null","bfleao","2023-03-02T18:05:13.418352Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/4/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/4/81879/","Concept","81877"
"81875","12","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/12/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Face Externa Inferior do Braço Direito","por","81875","null","null","bfleao","2023-03-02T18:05:13.392208Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/12/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/12/81876/","Concept","81875"
"81873","3","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/3/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Vasto Lateral da Coxa Direita","por","81873","null","null","bfleao","2023-03-02T18:05:13.372812Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/3/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/3/81874/","Concept","81873"
"81870","11","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/11/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Dorso Glúteo Esquerdo","por","81870","null","null","bfleao","2023-03-02T18:05:13.347590Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/11/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/11/81872/","Concept","81870"
"81869","22","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/22/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Face Anterolateral Externa do Antebraço Esquerdo","por","81869","null","null","bfleao","2023-03-02T18:05:13.324313Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/22/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/22/81871/","Concept","81869"
"81866","10","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/10/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Dorso Glúteo Direito","por","81866","null","null","bfleao","2023-03-02T18:05:13.295504Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/10/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/10/81868/","Concept","81866"
"81865","21","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/21/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Face Anterolateral Externa do Antebraço Direito","por","81865","null","null","bfleao","2023-03-02T18:05:13.275234Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/21/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/21/81867/","Concept","81865"
"81862","1","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/1/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Deltóide Direito","por","81862","null","null","bfleao","2023-03-02T18:05:13.243831Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/1/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/1/81864/","Concept","81862"
"81861","20","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/20/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Face Anterolateral Externa do Braço Esquerdo","por","81861","null","null","bfleao","2023-03-02T18:05:13.228349Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/20/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/20/81863/","Concept","81861"
"81857","0","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/0/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Sem registro no sistema de informação de origem","por","81857","null","null","bfleao","2023-03-02T18:05:13.161887Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/0/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/0/81860/","Concept","81857"
"81858","2","null"," Misc","text","/orgs/MS/sources/BRLocalAplicacao/concepts/2/","false","BRLocalAplicacao","MS","Organization","/orgs/MS/","Deltóide Esquerdo","por","81858","null","null","bfleao","2023-03-02T18:05:13.165650Z","false","/orgs/MS/sources/BRLocalAplicacao/concepts/2/versions/","/orgs/MS/sources/BRLocalAplicacao/concepts/2/81859/","Concept","81858"
