resource_type,id,name,company,website,location,public_access,logo_url,description,attr:St Hierarchy Level,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,A,trato alimentar e metabolismo,,,por,,,trato alimentar e metabolismo,1,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc, ,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01,preparações estomatológicas,,,por,,,preparações estomatológicas,2,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01A,preparações estomatológicas,,,por,,,preparações estomatológicas,3,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA,agentes profiláticos da cárie,,,por,,,agentes profiláticos da cárie,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA01,fluoreto de sódio,,,por,,,fluoreto de sódio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA02,monofluorfosfato de sódio,,,por,,,monofluorfosfato de sódio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA03,olaflur,,,por,,,olaflur,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA04,fluoreto de estanho,,,por,,,fluoreto de estanho,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA30,associações,,,por,,,associações,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA51,"fluoreto de sódio, associações contendo",,,por,,,"fluoreto de sódio, associações contendo",5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB,antiinfeciosos e anti-sépticos para tratamento oral local,,,por,,,antiinfeciosos e anti-sépticos para tratamento oral local,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB02,peróxido de hidrogênio,,,por,,,peróxido de hidrogênio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB03,clorexidina,,,por,,,clorexidina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB04,anfotericina b,,,por,,,anfotericina b,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB05,polinoxilina,,,por,,,polinoxilina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB06,domifeno,,,por,,,domifeno,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB07,hidroxiquinolina,,,por,,,hidroxiquinolina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB08,neomicina,,,por,,,neomicina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB09,miconazol,,,por,,,miconazol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB10,natamicina,,,por,,,natamicina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB11,vários,,,por,,,vários,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB12,hexetidina,,,por,,,hexetidina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB13,tetraciclina,,,por,,,tetraciclina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB14,cloreto de benzoxônio,,,por,,,cloreto de benzoxônio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB15,iodeto de tibezônio,,,por,,,iodeto de tibezônio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB16,mepartricina,,,por,,,mepartricina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB17,metronidazol,,,por,,,metronidazol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB18,clotrimazol,,,por,,,clotrimazol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB19,perborato de sódio,,,por,,,perborato de sódio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB21,clortetraciclina,,,por,,,clortetraciclina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB22,doxiciclina,,,por,,,doxiciclina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AB23,minociclina,,,por,,,minociclina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AC,corticosteróides para tratamento oral local,,,por,,,corticosteróides para tratamento oral local,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AC01,triancinolona,,,por,,,triancinolona,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AC02,dexametasona,,,por,,,dexametasona,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AC03,hidrocortisona,,,por,,,hidrocortisona,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AC54,"prednisolona, associações contendo",,,por,,,"prednisolona, associações contendo",5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AD,outros agentes para tratamento oral local,,,por,,,outros agentes para tratamento oral local,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AD01,epinefrina,,,por,,,epinefrina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AD02,benzidamina,,,por,,,benzidamina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AD05,ácido acetilsalicílico,,,por,,,ácido acetilsalicílico,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AD06,adrenalona,,,por,,,adrenalona,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AD07,anlexanox,,,por,,,anlexanox,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AD11,vários,,,por,,,vários,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02,medicamentos para transtornos relacionados à acidez,,,por,,,medicamentos para transtornos relacionados à acidez,2,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02A,antiácidos,,,por,,,antiácidos,3,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AA,compostos de magnésio,,,por,,,compostos de magnésio,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AA01,carbonato de magnésio,,,por,,,carbonato de magnésio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AA02,óxido de magnésio,,,por,,,óxido de magnésio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AA03,peróxido de magnésio,,,por,,,peróxido de magnésio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AA04,hidróxido de magnésio,,,por,,,hidróxido de magnésio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AA05,silicato de magnésio,,,por,,,silicato de magnésio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AA10,associações,,,por,,,associações,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AB,compostos de alumínio usados como antiácidos,,,por,,,compostos de alumínio usados como antiácidos,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AB01,hidróxido de alumínio,,,por,,,hidróxido de alumínio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AB02,algeldrato,,,por,,,algeldrato,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AB03,fosfato de alumínio,,,por,,,fosfato de alumínio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AB04,carbonato sódico de dihidroxialumínio,,,por,,,carbonato sódico de dihidroxialumínio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AB05,acetoacetato de alumínio,,,por,,,acetoacetato de alumínio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AB06,aloglutamol,,,por,,,aloglutamol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AB07,glicinato de alumínio,,,por,,,glicinato de alumínio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AB10,associações,,,por,,,associações,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AC,compostos de cálcio usados como antiácidos,,,por,,,compostos de cálcio usados como antiácidos,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AC01,carbonato de cálcio,,,por,,,carbonato de cálcio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AC02,silicato de cálcio,,,por,,,silicato de cálcio,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AC10,associações,,,por,,,associações,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AD,"associações e complexos de sais de alumínio, cálcio e magnésio",,,por,,,"associações e complexos de sais de alumínio, cálcio e magnésio",4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AD01,"associações  de sais simples de alumínio, cálcio e magnésio",,,por,,,"associações  de sais simples de alumínio, cálcio e magnésio",5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AD02,magaldrato,,,por,,,magaldrato,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AD03,almagato,,,por,,,almagato,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AD04,hidrotalcita,,,por,,,hidrotalcita,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AD05,almasilato,,,por,,,almasilato,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AF,antiácidos contendo antiflatulentos,,,por,,,antiácidos contendo antiflatulentos,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AF01,magaldrato e antiflatulentos,,,por,,,magaldrato e antiflatulentos,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AF02,"associações de sais simples de alumínio, cálcio e magnésio associados com antiflatulentos",,,por,,,"associações de sais simples de alumínio, cálcio e magnésio associados com antiflatulentos",5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AG,antiácidos associados com antiespasmódicos,,,por,,,antiácidos associados com antiespasmódicos,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AH,antiácidos com bicarbonato de sódio,,,por,,,antiácidos com bicarbonato de sódio,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02AX,outras associações de antiácidos,,,por,,,outras associações de antiácidos,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02B,medicamentos para úlcera péptica e doenças de refluxo gastresofágico,,,por,,,medicamentos para úlcera péptica e doenças de refluxo gastresofágico,3,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA,antagonistas do receptor h2,,,por,,,antagonistas do receptor h2,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA01,cimetidina,,,por,,,cimetidina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA02,ranitidina,,,por,,,ranitidina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA03,famotidina,,,por,,,famotidina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA04,nizatidina,,,por,,,nizatidina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA05,niperotidina,,,por,,,niperotidina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA06,roxatidina,,,por,,,roxatidina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA07,ranitidina e citrato de bismuto,,,por,,,ranitidina e citrato de bismuto,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA08,lafutidina,,,por,,,lafutidina,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA51,"cimetidina, associações contendo",,,por,,,"cimetidina, associações contendo",5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BA53,"famotidina, associações contendo",,,por,,,"famotidina, associações contendo",5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BB,prostaglandinas,,,por,,,prostaglandinas,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BB01,misoprostol,,,por,,,misoprostol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BB02,emprostila,,,por,,,emprostila,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BC,inibidores da bomba de prótons,,,por,,,inibidores da bomba de prótons,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BC01,omeprazol,,,por,,,omeprazol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BC02,pantoprazol,,,por,,,pantoprazol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BC03,lansoprazol,,,por,,,lansoprazol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BC04,rabeprazol,,,por,,,rabeprazol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BC05,esomeprazol,,,por,,,esomeprazol,5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BD,associações para erradicação da helicobacter pylori,,,por,,,associações para erradicação da helicobacter pylori,4,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A02BD01,"omeprazol, amoxicilina e metronidazol",,,por,,,"omeprazol, amoxicilina e metronidazol",5,,,,WHO,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,atc,,,,,,,,,,,,,,,,,,,Fully Specified,por
