resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,BR0363843U0041,ATAZANAVIR 300 MG CÁPSULA,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0268214U0005,"ATROPINA, SULFATO 0,25 MG/ML SOLUÇÃO INJETÁVEL 1 ML",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0292331-2,"SALBUTAMOL, SULFATO 0,4 MG/ML XAROPE 120 ML",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0268825,TENOFOVIR 300MG COMPRIMIDO ELENCO ESTADUAL,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0280883,"GLICOSAMINA, SULFATO + CONDROITINA, SULFATO 1,5 + 1,2 G PÓ PARA SOLUÇÃO ORAL",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0342526,"TIOTRÓPIO, BROMETO 18 MCG CÁPSULA",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0271582,"TOBRAMICINA 3 MG/G POMADA OFTÁLMICA 3,5 G",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0345783,URÉIA 100 MG/G CREME 60 G,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0309040,ÁCIDO URSODESOXICÓLICO 300 MG COMPRIMIDO ELENCO ESTADUAL,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0273319,INDOMETACINA 25 MG CÁPSULA,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0274921,PINDOLOL 5 MG COMPRIMIDO,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0267779,PARACETAMOL 750 MG COMPRIMIDO,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0268851,NORFLOXACINO 400 MG COMPRIMIDO,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0273710,NIMESULIDA 100 MG COMPRIMIDO,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0358755U0042,MISOPROSTOL 200 MCG COMPRIMIDO,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0271434,"ESTROGÊNIOS CONJUGADOS 0,625 mg COMPRIMIDO",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0300725U0009,FENOBARBITAL 100 MG/ML SOLUÇÃO INJETÁVEL 2 ML,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0305935-2,PROPOFOL 10 MG/ML EMULSÃO INJETÁVEL 20 ML,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0268285,NITRAZEPAM 5 MG MG COMPRIMIDO,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0268296,INATIVO- ÁCIDO NALIDÍXICO 50 MG/ML SUSPENSÃO ORAL 100 ML,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0348672U0004,SORO ANTIBOTRÓPICO SOLUÇÃO INJETÁVEL 10 ML,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0268513,OXACILINA SÓDICA 500 MG PÓ PARA SOLUÇÃO INJETÁVEL,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,BR0268076U0004,"MAGNÉSIO, SULFATO 10 % SOLUÇÃO INJETÁVEL 10 ML",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRMedicamento,,,,,,,,,,,,,,,,,,,Fully Specified,por
