resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,A,ALIMENTARY TRACT AND METABOLISM,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena, ,,ALIMENTARY TRACT AND METABOLISM,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01,STOMATOLOGICAL PREPARATIONS,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena,,,STOMATOLOGICAL PREPARATIONS,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01A,STOMATOLOGICAL PREPARATIONS,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena,,,STOMATOLOGICAL PREPARATIONS,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA,Caries prophylactic agents,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena,,,Caries prophylactic agents,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA01,sodium fluoride,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena,,,sodium fluoride,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA02,sodium monofluorophosphate,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena,,,sodium monofluorophosphate,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA03,olaflur,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena,,,olaflur,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA04,stannous fluoride,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena,,,stannous fluoride,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA30,combinations,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena,,,combinations,,,,,,,,,,,,,,,,Fully Specified,por
Concept,A01AA51,"sodium fluoride, combinations",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BREtniaIndigena,,,"sodium fluoride, combinations",,,,,,,,,,,,,,,,Fully Specified,por
