"id";"name";"location";"name_eng"
A;trato alimentar e metabolismo;por;ALIMENTARY TRACT AND METABOLISM
A01;preparações estomatológicas;por;STOMATOLOGICAL PREPARATIONS
A01A;preparações estomatológicas;por;STOMATOLOGICAL PREPARATIONS
A01AA;agentes profiláticos da cárie;por;Caries prophylactic agents
A01AA01;fluoreto de sódio;por;"sodium fluoride; oral, local oral (caries prophyla"
A01AA02;monofluorfosfato de sódio;por;"sodium monofluorophosphate; oral, local oral (cari"
A01AA03;olaflur;por;"olaflur; oral, local oral"
A01AA04;fluoreto de estanho;por;"stannous fluoride; oral, local oral"
A01AA30;associações;por;"combinations; oral, local oral (caries prophylacti"
A01AA51;fluoreto de sódio, associações contendo;por;"sodium fluoride, combinations; oral, local oral"
A01AB;antiinfeciosos e anti-sépticos para tratamento oral local;por;Antiinfectives and antiseptics for local oral trea
A01AB02;peróxido de hidrogênio;por;"hydrogen peroxide; local oral"
A01AB03;clorexidina;por;"chlorhexidine; oral, local oral (stomatological pr"
A01AB04;anfotericina b;por;"amphotericin B; local oral"
A01AB05;polinoxilina;por;"polynoxylin; local oral"
A01AB06;domifeno;por;"domiphen; local oral"
A01AB07;hidroxiquinolina;por;"oxyquinoline; local oral"
A01AB08;neomicina;por;"neomycin; local oral"
A01AB09;miconazol;por;"miconazole; local oral"
A01AB10;natamicina;por;"natamycin; local oral"
A01AB11;vários;por;"various; local oral"
A01AB12;hexetidina;por;"hexetidine; local oral"
A01AB13;tetraciclina;por;"tetracycline; local oral"
A01AB14;cloreto de benzoxônio;por;"benzoxonium chloride; local oral"
A01AB15;iodeto de tibezônio;por;"tibezonium iodide; local oral"
A01AB16;mepartricina;por;"mepartricin; local oral"
A01AB17;metronidazol;por;"metronidazole; local oral"
A01AB18;clotrimazol;por;"clotrimazole; local oral"
A01AB19;perborato de sódio;por;"sodium perborate; local oral"
A01AB21;clortetraciclina;por;"chlortetracycline; local oral"
A01AB22;doxiciclina;por;"doxycycline; local oral"
A01AB23;minociclina;por;"minocycline; local oral"
A01AC;corticosteróides para tratamento oral local;por;Corticosteroids for local oral treatment
A01AC01;triancinolona;por;"triamcinolone; local oral"
A01AC02;dexametasona;por;"dexamethasone; local oral"
A01AC03;hidrocortisona;por;"hydrocortisone; local oral"
A01AC54;prednisolona, associações contendo;por;"prednisolone, combinations; local oral"
A01AD;outros agentes para tratamento oral local;por;Other agents for local oral treatment
A01AD01;epinefrina;por;"epinephrine; local oral"
A01AD02;benzidamina;por;"benzydamine; local oral"
A01AD05;ácido acetilsalicílico;por;"acetylsalicylic acid; local oral"
A01AD06;adrenalona;por;"adrenalone; local oral"
A01AD07;anlexanox;por;"amlexanox; local oral"
A01AD11;vários;por;"various; local oral"
A02;medicamentos para transtornos relacionados à acidez;por;DRUGS FOR ACID RELATED DISORDERS
A02A;antiácidos;por;ANTACIDS
A02AA;compostos de magnésio;por;Magnesium compounds
A02AA01;carbonato de magnésio;por;"magnesium carbonate; systemic"
A02AA02;óxido de magnésio;por;"magnesium oxide; systemic (magnesium compounds)"
A02AA03;peróxido de magnésio;por;magnesium peroxide
A02AA04;hidróxido de magnésio;por;"magnesium hydroxide; oral (magnesium compounds)"
A02AA05;silicato de magnésio;por;"magnesium silicate; oral, topical"
A02AA10;associações;por;magnesium compounds - combinations
A02AB;compostos de alumínio usados como antiácidos;por;Aluminium compounds
A02AB01;hidróxido de alumínio;por;"aluminium hydroxide; systemic"
A02AB02;algeldrato;por;"algeldrate; oral"
A02AB03;fosfato de alumínio;por;"aluminium phosphate; systemic"
A02AB04;carbonato sódico de dihidroxialumínio;por;"dihydroxialumini sodium carbonate; oral"
A02AB05;acetoacetato de alumínio;por;aluminium acetoacetate
A02AB06;aloglutamol;por;"aloglutamol; oral"
A02AB07;glicinato de alumínio;por;aluminium glycinate
A02AB10;associações;por;aluminium compounds - combinations
A02AC;compostos de cálcio usados como antiácidos;por;Calcium compounds
A02AC01;carbonato de cálcio;por;"calcium carbonate; systemic"
A02AC02;silicato de cálcio;por;"calcium silicate; oral"
A02AC10;associações;por;calcium compounds - combinations
A02AD;associações e complexos de sais de alumínio, cálcio e magnésio;por;Combinations and complexes of aluminium, calcium a
A02AD01;associações  de sais simples de alumínio, cálcio e magnésio;por;ordinary salt combinations
A02AD02;magaldrato;por;"magaldrate; systemic"
A02AD03;almagato;por;"almagate; oral"
A02AD04;hidrotalcita;por;"hydrotalcite; oral"
A02AD05;almasilato;por;"almasilate; systemic"
A02AF;antiácidos contendo antiflatulentos;por;Antacids with antiflatulents
A02AF01;magaldrato e antiflatulentos;por;"magaldrate and antiflatulents; systemic"
A02AF02;associações de sais simples de alumínio, cálcio e magnésio associados com antiflatulentos;por;ordinary salt combinations and antiflatulents
A02AG;antiácidos associados com antiespasmódicos;por;Antacids with antispasmodics
A02AH;antiácidos com bicarbonato de sódio;por;Antacids with sodium bicarbonate
A02AX;outras associações de antiácidos;por;Antacids, other combinations
A02B;medicamentos para úlcera péptica e doenças de refluxo gastresofágico;por;DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFL
A02BA;antagonistas do receptor h2;por;H2-receptor antagonists
A02BA01;cimetidina;por;"cimetidine; systemic"
A02BA02;ranitidina;por;"ranitidine; systemic"
A02BA03;famotidina;por;"famotidine; systemic"
