resource_type,id,name,company,website,location,public_access,logo_url,attr:alpha3,attr:numeric,full_name,owner_id,owner_type,source_type,default_locale,description,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source
Concept,10,BRASIL,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,20,RESERVADO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,21,ARGENTINA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,22,BOLIVIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,23,CHILE,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,24,PARAGUAI,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,25,URUGUAI,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,26,COLOMBIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,27,EQUADOR,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,28,ANTIGUA E. DEP. BARBUDA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,29,ANTILHAS HOLANDESAS,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,30,ALEMANHA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,31,BELGICA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,32,GRA-BRETANHA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,33,ARUBA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,34,CANADA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,35,ESPANHA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
