,resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:Ex_Num,attr:ex_name,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:categoria,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
0,Concept,abelha,Abelha,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Veneno de abelha,Apsinina,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,acaro,Ácaros,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Pó doméstico,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,acido-azelaico,Ácido azelaico,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Ácido azelaico,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,adesivo,Adesivos,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Emplastro,Cola,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,aditivo-alimentar,Aditivos alimentares,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Aditivos alimentares,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,agente-fisico,Agentes físicos,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Agentes físicos,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,aipo,Aipo,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Aipo,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,alcool-polivinilico,Álcool polivinílico,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,PVA,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,alho,Alho,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Alho,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,aluminio,Alumínio,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Alumínio,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,ambrosia,Ambrósia,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Pólen de ambrósia,,,,,,,,,,,environment,,,,,,,Fully Specified,por
