"co_seq_id";"nu_apid";"no_nm"
76353;@brasil16241740477;Citalopram 20 mg comprimido
76356;@brasil45308684456;Citalopram 20 mg comprimido
76357;@brasil90193030924;Avalox 400 mg comprimido
76358;@brasil25201234644;Cloridrato de Amitriptilina 75 mg comprimido
76362;@brasil42635944159;Alopurinol 100 mg comprimido
76363;@brasil76960113667;Atenolol 100 mg comprimido
76364;@brasil18584288632;Cebralat 100 mg comprimido
76365;@brasil19701575969;Betes 2 mg comprimido
76366;@brasil19602105831;Captopril 50 mg comprimido
76367;@brasil45151936177;Alendil 70 mg comprimido
76368;@brasil21801713175;Aripiprazol 30 mg comprimido
76369;@brasil18268231889;Claudic 100 mg comprimido
76371;@brasil16842854236;Cloridrato de Ciprofloxacino 500 mg comprimido
76372;@brasil62515335159;Bissulfato de Clopidogrel 75 mg comprimido
76373;@brasil61198200873;Ciprofibrato 100 mg comprimido
76374;@brasil90834781139;Angipress 50 mg comprimido
76375;@brasil12658443996;Ciprobiot 500 mg comprimido
76376;@brasil28656388761;Bonalen 10 mg comprimido
76377;@brasil98957070567;Allegra 120 mg comprimido
76378;@brasil70768550405;Citalopram 20 mg comprimido
76379;@brasil32456718869;Betadine 24 mg comprimido
76380;@brasil20532366619;Aciclovir 200 mg comprimido
76381;@brasil97297463736;Apraz 1 mg comprimido
76382;@brasil57672876751;Cloridrato de Fexofenadina 120 mg comprimido
76383;@brasil22996290438;Captosen 50 mg comprimido
76385;@brasil32373805868;Binotal 500 mg comprimido
76386;@brasil57424289872;Captopril 50 mg comprimido
76387;@brasil63659944843;Atenolol 25 mg comprimido
76388;@brasil41545411175;Actos 30 mg comprimido
76390;@brasil50545010397;Cloridrato de Fexofenadina 120 mg comprimido
76392;@brasil84133938688;Atenolol 50 mg comprimido
76393;@brasil72149358793;Captopril 25 mg comprimido
76394;@brasil86327143904;Baclon 10 mg comprimido
76396;@brasil21875067331;Amaglyn 1 mg comprimido
76397;@brasil40393842558;Atip 200 mg comprimido
76398;@brasil52443047814;Bromidrato De Citalopram 20 mg comprimido
76399;@brasil84320993126;Atorvastatina Cálcica 20 mg comprimido
76400;@brasil20734005800;Capox 12,5 mg comprimido
76401;@brasil47133237658;Clinfar 20 mg comprimido
76402;@brasil70108080390;Aprolan 5 mg comprimido
76403;@brasil43125847055;Angipress 100 mg comprimido
76404;@brasil18394438590;Aglitil 15 mg comprimido
76406;@brasil15039315969;Captopril 50 mg comprimido
76407;@brasil54884422907;Analgisen 750 mg comprimido
76408;@brasil76265891719;Axonium 5 mg comprimido
76410;@brasil24948625768;Betina 16 mg comprimido
76411;@brasil44460649766;Aldactone 100 mg comprimido
76412;@brasil63605599670;Angipress 25 mg comprimido
76413;@brasil85889841546;Cloridrato de Ciclobenzaprina 10 mg comprimido
76416;@brasil65225863057;Clopin 75 mg comprimido
76417;@brasil55166758071;Cloridrato de Ciclobenzaprina 10 mg comprimido
76418;@brasil33092399667;Captopril 12,5 mg comprimido
76420;@brasil81147494645;Furp -Carbamazepina 200 mg comprimido
76421;@brasil79411895283;Cetoconazol 200 mg comprimido
76423;@brasil57895770023;Aceclo-Gran 100 mg comprimido
76424;@brasil85093461028;Candesartana Cilexetila 8 mg comprimido
76426;@brasil76246267970;Aripiprazol 30 mg comprimido
76427;@brasil61799920719;Aciclofar 200 mg comprimido
76428;@brasil50650480892;Atenolol 50 mg comprimido
76429;@brasil21841958481;Captopril 25 mg comprimido
76430;@brasil41214081722;Cloridrato de Donepezila 5 mg comprimido
76431;@brasil65407819657;Atorvastatina Cálcica 80 mg comprimido
76432;@brasil14623564733;Cefalexina 500 mg comprimido
76433;@brasil57088685786;Besilato de Anlodipino 5 mg comprimido
76434;@brasil15583999743;Besilato de Anlodipino 5 mg comprimido
76435;@brasil67484715292;Clindal Az 500 mg comprimido
76436;@brasil51375536752;Cloridrato de Ciprofloxacino 500 mg comprimido
76437;@brasil72064006756;Araceli 75 micrograma comprimido
76438;@brasil93725689987;Angiopril 10 mg comprimido
76439;@brasil99160651456;Asmifen 1 mg comprimido
76440;@brasil59248642479;Aldactone 25 mg comprimido
76441;@brasil23944618012;Besilato de Anlodipino 10 mg comprimido
76442;@brasil26741374659;Bromoprida 10 mg comprimido
76443;@brasil21968328477;Ciprofloxatrin 500 mg comprimido
