"co_seq_id";"nu_vpid";"dt_vpiddt";"co_vpidprev";"st_invalid";"co_vtmid";"st_combprodcd";"no_nm";"nu_snomed";"co_basiscd";"dt_nmdt";"no_nmprev";"co_basis_prevcd";"co_nmchangecd";"no_abbrevnm";"st_sug_f";"st_glu_f";"st_pres_f";"st_cfc_free";"co_pres_statcd";"co_non_availcd";"dt_non_availdt";"co_df_indcd";"qt_udfs";"co_udfs_uomcd";"co_unit_dose_uomcd";"st_ftn";"st_horus";"ds_notification";"co_targetcd";"co_atcclscd";"co_anvsclscd";"au_audit_create_datetime";"au_audit_change_datetime";"au_audit_create_username";"au_audit_change_username";"nu_version";"st_registro_ativo";"st_change_approve"
"794716";@brasil15195618340;;;;"790515";;Fralda adulta descartável;"0";;;;;;;;;;;;;;"49";;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794727";@brasil17499209601;;;;"790521";;Ácido Tricloroacético 75% solução;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794735";@brasil11984796487;;;;"43114";;Somatropina 8 unidades internacionais;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794767";@brasil7959404181;;;;"790555";;Vacina febre amarela;"0";"21";;;;;;;;;;"6525";;;"47";"1000,000";"11170";;;;;"217";;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"2";"1";;ACTIVE;PENDING
"794768";@brasil4357291960;;;;"11287";;Aripiprazol 1 mg/1 mL suspensão oral;"0";"21";;;;;;;;;;;;;"48";"1,000";"11178";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794769";@brasil0483306879;;;;"790568";;Apalutamida 60mg Comprimido revestido;;"21";;;;;;;;;;;;;"47";"60,000";"11178";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;APPROVED
"794770";@brasil6213601435;;;;"11287";;Aripiprazol 20 mg/1 mL suspensão oral;"0";"21";;;;;;;;;;;;;"48";"20,000";"11178";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794771";@brasil8139694672;;;;"288710";;Articaína 40 mg/1.8 mL + Epinefrina 10 ng/1.8 mL solução para injeção;"0";"21";;;;;;;;;;;;;"47";"1,000";"11210";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"65";;INACTIVE;PENDING
"794773";@brasil3676115453;;;;"11298";;Azitromicina 40 mg/1 mL pó para suspensão oral;"0";;;;;;;;;;;;;;"48";"40,000";"11178";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794774";@brasil8270757894;;;;"790569";;Avelumabe 200 mg/10 mL solução para infusão;frasco-ampola;"0";"21";;;;;;;;;;;;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1689360377";"65";"1";;ACTIVE
"794811";@brasil1376699763;;;;"790578";;Preencha o(s) ingrediente(s), princípio ativo e forma;;;;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"65";;INACTIVE;APPROVED
"795350";@brasil7941382167;;;;"42828";;Cloreto de Sódio 9 mg/mL solução para injeção 10 mL;frasco;;;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1702326203";"48";"48";;ACTIVE
