"co_seq_id";"nu_vtmid";"dt_vtmiddt";"co_vtmidprev";"st_invalid";"no_nm";"no_abbrevnm";"au_audit_create_datetime";"au_audit_change_datetime";"au_audit_create_username";"au_audit_change_username";"nu_version";"st_registro_ativo";"st_change_approve"
11244;@brasil13589800179;;;;Ácido Valproico;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11245;@brasil10699460124;;;;Acitretina;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11246;@brasil12727900390;;;;Adefovir;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11247;@brasil11541121891;;;;Aesculus hippocastanum L. (Castanha da Índia);;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11248;@brasil19521908590;;;;Agomelatina;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11249;@brasil12986177589;;;;Albendazol;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11250;@brasil16365162483;;;;Alfacalcidol;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11251;@brasil12867279957;;;;Alfuzosina;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11252;@brasil15240912645;;;;Alisquireno;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11253;@brasil17602723665;;;;Alisquireno + Hidroclorotiazida;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11254;@brasil12290880699;;;;Alopurinol;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11255;@brasil18646232808;;;;Alprazolam;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11256;@brasil16358522255;;;;Amantadina;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11257;@brasil15853913160;;;;Ambrisentana;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11258;@brasil10193999343;;;;Amilorida + Clortalidona;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11259;@brasil13408257544;;;;Amilorida + Hidroclorotiazida;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
11260;@brasil16459289998;;;;Aminaftona;;"2017-02-08 19:31:42";"2017-02-08 19:31:42";anonymous;"1";"0";ACTIVE;APPROVED
