Co Seq ID,Nu Vpid,Co Vtmid,No Nm,Rl Vmp Ont Form Route → Co Seq ID,Rl Vmp Ont Form Route → Co Formcd,Rl Vmp Ont Form Route → Co Vpid,Td Ont Form Route → Co Seq ID,Td Ont Form Route → Nu Cd,Td Ont Form Route → No Descr,Td Ont Form Route → No Descr Pt Br,Td Ont Form Route → St Registro Ativo,Td Ont Form Route → St Change Approve
412110,@brasil16156269790,288855,Glicina 15 mg/mL solução para irrigação 3 L; bolsa,412113,492,412110,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
412116,@brasil10355694544,288855,Glicina 15 mg/mL solução para irrigação 3 L; bolsa,412119,492,412116,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
412122,@brasil13309663656,288855,Glicina 15 mg/mL solução para irrigação 3 L; bolsa,412125,492,412122,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
540818,@brasil12979093949,288855,Glicina 15 mg/mL solução para irrigação 3 L; bolsa,540821,492,540818,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
548107,@brasil14163309850,42996,Manitol 30 mg/mL (3%) solução para irrigação 3 L; bolsa,548110,492,548107,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
548113,@brasil18279080648,42996,Manitol 30 mg/mL (3%) solução para irrigação 3 L; bolsa,548116,492,548113,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
548119,@brasil18905474000,42996,Manitol 30 mg/mL (3%) solução para irrigação 3 L; bolsa,548122,492,548119,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
548126,@brasil19690128366,42996,Manitol 30 mg/mL (3%) solução para irrigação 3 L; bolsa,548129,492,548126,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
548132,@brasil11734220143,42996,Manitol 30 mg/mL (3%) solução para irrigação 3 L; bolsa,548135,492,548132,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
548138,@brasil19600715923,42996,Manitol 30 mg/mL (3%) solução para irrigação 3 L; bolsa,548141,492,548138,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
548144,@brasil12800919498,42996,Manitol 30 mg/mL (3%) solução para irrigação 3 L; bolsa,548147,492,548144,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
565010,@brasil12510265355,288855,Glicina 15 mg/mL solução para irrigação 3 L; bolsa,565013,492,565010,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
677134,@brasil18633845370,42874,Doxorrubicina 10 mg pó para solução para injeção; frasco-ampola,677138,492,677134,492,0287,solution.intravesical,solução.intravesical,ACTIVE,APPROVED
