CATMAT;Status;Princípio Ativo;Quantidade (Numerador);U.M. (Numerador);Quantidade (Denominador);U.M. (Denominador);Forma Farmacêutica;Volume;Desc. Volume;Fator de Correção;Uni. de Consum;Uni. de Fornecimen;Lista;RENAME
BR0268315;Sim;ABACAVIR;300;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0268202;Sim;ACARBOSE;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0354317;Sim;ACARBOSE;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271666;Sim;ACECLOFENACO;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0412776;Sim;ACETATO DE ABIRATERONA;250;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268077;Sim;ACETATO DE CIPROTERONA;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0331980;Sim;ACETATO DE CIPROTERONA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0296676;Sim;ACETATO DE CIPROTERONA + VALERATO DE ESTRADIOL;2 + 1;mg + mg;;;comprimido;;;1;"COMP.
";CARTELA;;Não
BR0268572;Sim;ACETATO DE DESMOPRESSINA;0,2;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0272793;Sim;ACETATO DE FLUDROCORTISONA;0,1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267309;Sim;ACETATO DE MEDROXIPROGESTERONA;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271444;Sim;ACETATO DE MEDROXIPROGESTERONA;2,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271445;Sim;ACETATO DE MEDROXIPROGESTERONA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0271654;Sim;ACETATO DE MEGESTROL;160;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0278283;Sim;ACETAZOLAMIDA;250;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0278283E;Sim;ACETAZOLAMIDA;250;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
INATIVO 38;Não;ACETAZOLAMIDA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0356952;Sim;ACETILCISTEÍNA;600;mg;;;comprimido efervescente;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268370;Sim;ACICLOVIR;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0268372;Sim;ACICLOVIR;400;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267501;Sim;ÁCIDO ACETILSALICÍLICO ;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0267502;Sim;ÁCIDO ACETILSALICÍLICO ;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0270548;Sim;ÁCIDO ACETILSALICÍLICO ;325;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0270965;Sim;ÁCIDO ACETILSALICÍLICO ;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0285055;Sim;ÁCIDO ACETILSALICÍLICO ;81;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0343877;Sim;ÁCIDO ACETILSALICÍLICO ;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0337678;Sim;ÁCIDO ACETILSALICÍLICO ;100;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Não
BR0337679;Sim;ÁCIDO ACETILSALICÍLICO ;300;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271691;Sim;ÁCIDO ASCÓRBICO;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271685;Sim;ÁCIDO ASCÓRBICO;1;g;;;comprimido efervescente;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271686;Sim;ÁCIDO ASCÓRBICO;2;g;;;comprimido efervescente;;;1;"COMP.
";COMPRIMIDO;;Não
BR0430292;Sim;ÁCIDO ASCÓRBICO + ALFATOCOFEROL + ZINCO + SELÊNIO + RETINOL;45 + 4,4 + 3,75 + 17,5 + 400;mg + mg + mg + mcg + mcg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0395609;Sim;ÁCIDO ASCÓRBICO + CITRATO DE ZINCO;1 + 10;g + mg;;;comprimido efervescente;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267503;Sim;ÁCIDO FÓLICO;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0296825;Sim;ÁCIDO FÓLICO + FERRO AMINOÁCIDO QUELATO;5 + 150 ;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268292;Sim;ÁCIDO FOLÍNICO (FOLINATO DE CÁLCIO);15;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0429151;Sim;ÁCIDO GAMAMINOBUTÍRICO + LISINA + TIAMINA + PIRIDOXINA + CÁLCIO;50 + 50 + 2 + 4 + 4;mg + mg + mg + mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0388569;Sim;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO);150;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
