id_ampp	codigo_obm	nome_ampp	vmpp_nome	amp_nome	tarja	numero_registro_sanitario	data_registro	uso_hospitalar	uso_farmacia_pop	codigo_barras1	codigo_barras2	codigo_barras3
642850	@brasil13342631339	"8Y 250 unidades internacionais pó e diluente para solução para injeção; frasco-ampola (Ucb Biopharma S.A.) x 1 frasco-ampola"	"Fator VIII 250 unidades internacionais pó e diluente para solução para injeção; frasco-ampola x 1 frasco-ampola"	"8Y 250 unidades internacionais pó e diluente para solução para injeção; frasco-ampola"	Não aplicável	1,2361E+12	15/01/1996 21:00					
617348	@brasil18694287675	"8Y 500 unidades internacionais pó e diluente para solução para injeção; frasco-ampola (Ucb Biopharma S.A.) x 1 frasco-ampola"	"Fator VIII 500 unidades internacionais pó e diluente para solução para injeção; frasco-ampola x 1 frasco-ampola"	"8Y 500 unidades internacionais pó e diluente para solução para injeção; frasco-ampola "	Não aplicável	1,2361E+12	15/01/1996 21:00					
617433	@brasil19670012553	A Curitybina 100 mg/mL solução (União Química Farmacêutica Nacional S/A) x 5 mL	Ácido Salicílico 100 mg/mL solução x 5 mL	A Curitybina 100 mg/mL solução 	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,0497E+12	22/04/2002 21:00					
617462	@brasil12267200053	A Curitybina 280 mg/g pasta (União Química Farmacêutica Nacional S/A) x 156 g (12 potes x 13 g)	Ácido Salicílico 280 mg/g pasta x 156 g	A Curitybina 280 mg/g pasta 	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,0497E+12	22/04/2002 21:00					
620144	@brasil11331281857	A Saúde Da Mulher 0,625 mL/15 mL + 400 mg/15 mL + 0,3 mL/15 mL + 0,013 mL/15 mL solução oral (Ems S/A) x 150 mL	Plumeria lancifolia 0,625 mL/15 mL + Salicilato de Sódio 400 mg/15 mL + Passiflora alata 0,3 mL/15 mL + Citrus aurantium L. 0,013 mL/15 mL solução oral x 150 mL	A Saúde Da Mulher 0,625 mL/15 mL + 400 mg/15 mL + 0,3 mL/15 mL + 0,013 mL/15 mL solução oral 	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,02351E+12	25/03/2012 21:00					
617476	@brasil12325962913	AAS 500 mg comprimido (Sanofi-Aventis Farmacêutica Ltda) x 20 comprimidos	Ácido Acetilsalicílico 500 mg comprimido x 20 comprimidos	AAS 500 mg comprimido	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,13001E+12	12/08/2007 21:00					
617602	@brasil14828214713	AAS 500 mg comprimido (Sanofi-Aventis Farmacêutica Ltda) x 200 comprimidos	Ácido Acetilsalicílico 500 mg comprimido x 200 comprimidos	AAS 500 mg comprimido	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,13001E+12	12/08/2007 21:00					
617603	@brasil17163185137	AAS 500 mg comprimido (Sanofi-Aventis Farmacêutica Ltda) x 500 comprimidos	Ácido Acetilsalicílico 500 mg comprimido x 500 comprimidos	AAS 500 mg comprimido	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,13001E+12	12/08/2007 21:00					
620145	@brasil15166854181	AAS Infantil 100 mg comprimido (Sanofi-Aventis Farmacêutica Ltda) x 120 comprimidos	Ácido Acetilsalicílico 100 mg comprimido x 120 comprimidos	AAS Infantil 100 mg comprimido	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,13001E+12	12/08/2007 21:00					
620146	@brasil11840425646	AAS Infantil 100 mg comprimido (Sanofi-Aventis Farmacêutica Ltda) x 200 comprimidos	Ácido Acetilsalicílico 100 mg comprimido x 200 comprimidos	AAS Infantil 100 mg comprimido	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,13001E+12	12/08/2007 21:00					
620147	@brasil13701565994	AAS Infantil 100 mg comprimido (Sanofi-Aventis Farmacêutica Ltda) x 30 comprimidos	Ácido Acetilsalicílico 100 mg comprimido x 30 comprimidos	AAS Infantil 100 mg comprimido	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,13001E+12	12/08/2007 21:00					
620148	@brasil12986553340	AAS Protect 100 mg comprimido gastrorresistente (Sanofi-Aventis Farmacêutica Ltda) x 10 comprimidos	Ácido Acetilsalicílico 100 mg comprimido gastrorresistente x 10 comprimidos	AAS Protect 100 mg comprimido gastrorresistente 	Medicamentos de tarja vermelha	1,13001E+12	24/06/2007 21:00					
620149	@brasil13828069029	AAS Protect 100 mg comprimido gastrorresistente (Sanofi-Aventis Farmacêutica Ltda) x 30 comprimidos	Ácido Acetilsalicílico 100 mg comprimido gastrorresistente x 30 comprimidos	AAS Protect 100 mg comprimido gastrorresistente 	Medicamentos de tarja vermelha	1,13001E+12	24/06/2007 21:00					
620150	@brasil10180685435	Abc 10 mg/g creme (Kley Hertz Farmaceutica S.A) x 20 g	Clotrimazol 10 mg/g creme x 20 g	Abc 10 mg/g creme 	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,0689E+12	23/10/2005 21:00					
620151	@brasil19419220394	Abc 10 mg/g solução spray (Kley Hertz Farmaceutica S.A) x 30 mL	Clotrimazol 10 mg/mL solução spray x 30 mL	Abc 10 mg/g solução spray 	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,0689E+12	23/10/2005 21:00					
620152	@brasil16554045979	Abcler 100 mg/mL + 50 mg/mL + 10 mg/mL solução oral (Airela Indústria Farmacêutica Ltda) x 120 mL	Citrato de Colina 100 mg/mL + Betaína 50 mg/mL + Racemetionina 10 mg/mL solução oral x 120 mL	Abcler 100 mg/mL + 50 mg/mL + 10 mg/mL solução oral 	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,4493E+12	06/06/2001 21:00					
620153	@brasil14512569022	Abcler 100 mg/mL + 50 mg/mL + 10 mg/mL solução oral (Airela Indústria Farmacêutica Ltda) x 120 mL (12 flaconetes x 10 mL)	Citrato de Colina 100 mg/mL + Betaína 50 mg/mL + Racemetionina 10 mg/mL solução oral x 120 mL	Abcler 100 mg/mL + 50 mg/mL + 10 mg/mL solução oral 	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,4493E+12	06/06/2001 21:00					
620154	@brasil12900707480	Abcler 100 mg/mL + 50 mg/mL + 10 mg/mL solução oral (Airela Indústria Farmacêutica Ltda) x 600 mL (60 flaconetes x 10 mL)	Citrato de Colina 100 mg/mL + Betaína 50 mg/mL + Racemetionina 10 mg/mL solução oral x 600 mL	Abcler 100 mg/mL + 50 mg/mL + 10 mg/mL solução oral 	Medicamentos sem tarja / Medicamentos isentos de prescrição (MIP)	1,4493E+12	06/06/2001 21:00					
620155	@brasil10965830646	"Abelcet 100 mg/20 mL suspensão para injeção; frasco-ampola (Teva Farmacêutica Ltda) x 1 frasco-ampola"	"Anfotericina B Complexo Lipídico 100 mg/20 mL suspensão para injeção; frasco-ampola x 1 frasco-ampola"	"Abelcet 100 mg/20 mL suspensão para injeção; frasco-ampola "	Medicamentos de tarja vermelha	1,5573E+12	20/12/2015 21:00					
620156	@brasil16127031095	Ablok 100 mg comprimido (Biolab Sanus Farmacêutica Ltda) x 30 comprimidos (3 blisters x 10)	Atenolol 100 mg comprimido x 30 comprimidos	Ablok 100 mg comprimido	Medicamentos de tarja vermelha	1,0974E+12	07/05/2000 21:00					
620157	@brasil17737663850	Ablok 100 mg comprimido (Biolab Sanus Farmacêutica Ltda) x 60 comprimidos	Atenolol 100 mg comprimido x 60 comprimidos	Ablok 100 mg comprimido	Medicamentos de tarja vermelha	1,0974E+12	07/05/2000 21:00					
620158	@brasil10307226273	Ablok 100 mg comprimido (Biolab Sanus Farmacêutica Ltda) x 90 comprimidos	Atenolol 100 mg comprimido x 90 comprimidos	Ablok 100 mg comprimido	Medicamentos de tarja vermelha	1,0974E+12	07/05/2000 21:00					
620159	@brasil18323140122	Ablok 25 mg comprimido (Biolab Sanus Farmacêutica Ltda) x 30 comprimidos	Atenolol 25 mg comprimido x 30 comprimidos	Ablok 25 mg comprimido	Medicamentos de tarja vermelha	1,0974E+12	07/05/2000 02:00		7	7,89624E+12		
620160	@brasil10694022103	Ablok 25 mg comprimido (Biolab Sanus Farmacêutica Ltda) x 60 comprimidos	Atenolol 25 mg comprimido x 60 comprimidos	Ablok 25 mg comprimido	Medicamentos de tarja vermelha	1,0974E+12	07/05/2000 21:00		7	7,89611E+12		
620161	@brasil18500690456	Ablok 25 mg comprimido (Biolab Sanus Farmacêutica Ltda) x 90 comprimidos	Atenolol 25 mg comprimido x 90 comprimidos	Ablok 25 mg comprimido	Medicamentos de tarja vermelha	1,0974E+12	07/05/2000 21:00		7	7,89611E+12		
620162	@brasil10421386285	Ablok 50 mg comprimido (Biolab Sanus Farmacêutica Ltda) x 30 comprimidos (3 blisters x 10)	Atenolol 50 mg comprimido x 30 comprimidos	Ablok 50 mg comprimido	Medicamentos de tarja vermelha	1,0974E+12	07/05/2000 21:00					
620163	@brasil16604860364	Ablok 50 mg comprimido (Biolab Sanus Farmacêutica Ltda) x 60 comprimidos	Atenolol 50 mg comprimido x 60 comprimidos	Ablok 50 mg comprimido	Medicamentos de tarja vermelha	1,0974E+12	07/05/2000 21:00					
620164	@brasil11760143274	Ablok 50 mg comprimido (Biolab Sanus Farmacêutica Ltda) x 90 comprimidos	Atenolol 50 mg comprimido x 90 comprimidos	Ablok 50 mg comprimido	Medicamentos de tarja vermelha	1,0974E+12	07/05/2000 21:00					
