Data;Nome_Horus;Visto_Horus;id
17/abr;ACIDO AZELAICO 200 MG/G CREME 30 G;NÃO;1
17/abr;ACIDO AZELAICO 150 MG/G GEL 30 G;SIM;2
17/abr;ACIDO AZELAICO 150 MG/G GEL 30 G;SIM;3
17/abr;ACIDO AZELAICO 150 MG/G GEL 30 G;SIM;4
17/abr;ÁCIDO BÓRICO  (ÁGUA BORICADA) 2% SOLUÇÃO 100 ML;SIM;5
17/abr;ÁCIDO BÓRICO  (ÁGUA BORICADA) 3 % SOLUÇÃO 100 ML;SIM;6
17/abr;ÁCIDO CÍTRICO + CITRATO DE SÓDIO + CITRATO DE POTÁSSIO 70 MG + 98 MG + 108 MG/ML XAROPE  500 ML;SIM;7
19/abr;ÁCIDO FÓLICO + ACETATO DE RACEALFATOCOFEROL 800MCG + 20MG CÁPSULA ;SIM;8
19/abr;ÁCIDO FÓLICO + DEXTROALFATOCOFEROL 0,4 + 10 MG CÁPSULA GELATINOSA MOLE;SIM;9
19/abr;ÁCIDO FÓLICO + DEXTROALFATOCOFEROL 0,4 + 10 MG CÁPSULA GELATINOSA MOLE;NÃO;10
17/04/23;ACIDO AZELAICO 150 MG/G GEL 30 G;SIM;11
17/04/23;ACIDO AZELAICO 150 MG/G GEL 30 G;SIM;12
17/04/23;ACIDO AZELAICO 150 MG/G GEL 30 G;SIM;13
17/04/23;ÁCIDO FÓLICO + DEXTROALFATOCOFEROL 0,4 + 10 MG CÁPSULA GELATINOSA MOLE;SIM;14
19/abr;ÁCIDO FÓLICO + FERRO AMINOÁCIDO QUELATO 0,2 + 30 MG/ML SOLUÇÃO ORAL 30 ML;SIM;15
19/abr;ÁCIDO FÓLICO + FERRO AMINOÁCIDO QUELATO 5 MG + 150 MG COMPRIMIDO;SIM;16
19/abr;ÁCIDO FÓLICO + FERRO AMINOÁCIDO QUELATO 5 MG + 150 MG COMPRIMIDO;SIM;17
19/abr;ÁCIDO FÓLICO + FERRO AMINOÁCIDO QUELATO 5 MG + 150 MG COMPRIMIDO;SIM;18
19/abr;ÁCIDO FÓLICO + FERRO AMINOÁCIDO QUELATO 5 MG + 150 MG COMPRIMIDO;SIM;19
19/abr;ÁCIDO FÓLICO + FERRO AMINOÁCIDO QUELATO 5 MG + 150 MG COMPRIMIDO;SIM;20
19/abr;ÁCIDO FÓLICO + FERRO QUELATO GLICINATO (30 MG FERRO ELEMENTAR)  5 + 150  MG CÁPSULA ;;21
19/abr;ÁCIDO FÓLICO + VIT, B1,B2,B3,B5,B6,B12,C,D,E,H,K MIN: CA,CO,CR,CU,FE,I,MG,MN,MO,SE,ZN CÁPSULA ;;22
19/abr;ÁCIDO FÓLICO, ASSOCIADO AO FERRO E VIT. B12 5 MG + 41,66 MG + 15 MCG COMPRIMIDO;SIM;23
19/abr;ÁCIDO FÓLICO 0,2 MG/ML SOLUÇÃO ORAL 30 ML;SIM;24
19/abr;ÁCIDO FÓLICO 0,2 MG/ML SOLUÇÃO ORAL 30 ML;SIM;25
19/abr;ÁCIDO FÓLICO 0,4 MG/ML SOLUÇÃO ORAL 100 ML;;26
19/abr;ÁCIDO FÓLICO 1 MG/ML SOL ORAL (FR) 150 ML;;27
19/abr;ÁCIDO FÓLICO 2 MG COMPRIMIDO;SIM;28
19/abr;ÁCIDO FÓLICO 2 MG COMPRIMIDO;SIM;29
19/abr;ÁCIDO FÓLICO 400 MCG CÁPSULA GELATINOSA MOLE;;30
19/abr;ÁCIDO FÓLICO 5 MG COMPRIMIDO ELENCO ESTADUAL ;SIM;31
19/abr;ÁCIDO FÓLICO 5 MG COMPRIMIDO ELENCO ESTADUAL ;SIM;32
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;33
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;34
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;35
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;36
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;37
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;38
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;39
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;40
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;41
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;42
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;43
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;44
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;45
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;46
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;47
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;48
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;49
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;50
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;51
19/abr;ÁCIDO FÓLICO 5 MG ;SIM;52
19/abr;ÁCIDO FÓLICO 5 MG/ML SOLUÇÃO ORAL 10 ML;SIM;53
19/abr;ÁCIDO FOLÍNICO (FOLINATO DE CÁLCIO) 0,5 MG/ML SOLUÇÃO ORAL 50 ML;SIM;54
19/abr;ÁCIDO FOLÍNICO (FOLINATO DE CÁLCIO) 15 MG COMPRIMIDO ELENCO ESTADUAL ;SIM;55
19/abr;ÁCIDO FOLÍNICO (FOLINATO DE CÁLCIO) 5  MG/ML SOLUÇÃO ORAL 30 ML;;56
19/abr;ÁCIDO FOLÍNICO (FOLINATO DE CÁLCIO) 50 MG PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL;;57
19/abr;ÁCIDO FOLÍNICO (FOLINATO DE CÁLCIO) 7,5 MG/ML SOLUÇÃO ORAL 60 ML;;58
19/abr;ACIDO FUSIDICO + BETAMETASONA 20 MG + 1 MG/G CREME  15 G;SIM;59
19/abr;ACIDO FUSIDICO + BETAMETASONA 20 MG + 1 MG/G CREME  15 G;SIM;60
19/abr;ACIDO FUSIDICO + BETAMETASONA 20 MG + 1 MG/G CREME  15 G;SIM;61
19/abr;ÁCIDO FUSÍDICO 20 MG/G CREME  5 G;SIM;62
19/abr;ÁCIDO FUSÍDICO 20 MG/G CREME  10 G;SIM;63
19/abr;ÁCIDO FUSÍDICO 20 MG/G CREME  15 G;SIM;64
19/abr;ÁCIDO GAMAMINOBUTÍRICO + LISINA + TIAMINA + PIRIDOXINA + CÁLCIO 100 MG + 100 MG + 4 MG + 8 MG + 8 MG/ML XAROPE  100 ML;SIM;65
19/abr;ÁCIDO GAMAMINOBUTÍRICO + LISINA + TIAMINA + PIRIDOXINA + CÁLCIO 50 MG + 50 MG + 2 MG + 4 MG + 4 MG COMPRIMIDO;SIM;66
19/abr;ÁCIDO GAMAMINOBUTÍRICO + LISINA + TIAMINA + PIRIDOXINA + CÁLCIO 50 MG + 50 MG + 2 MG + 4 MG + 4 MG COMPRIMIDO;SIM;67
24/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 1 MG/ML SOLUÇÃO INJETÁVEL 3 ML;;68
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;69
