id_vmp;codigo_obm;nome_vmp;vtm_cod_nome;anvs_cod_nome;snomed;atc_cod_nome;atc_cod_nome;indicador_dose_un;qtd_dose_un;unidade_medida_dose_un;status_prescricao;base_denominacao;vias_adm;formas;ingredientes;catmats;cat_control_esp;ont_form_via;;;;;;;;;;;
248158;@brasil12070954154;Abacavir 20 mg/mL solução oral;11214 - Abacavir;3866 - Antiviróticos;324881002;3866 - abacavir;544 - Estratégico;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;794720 - Oral;794719 - Solução oral;;794721 - BR0268317;794726 - Sem Status de Controle Especial;794721 - solução.oral;;;;;;;;;;;
23287;@brasil12751888652;Abacavir 300 mg comprimido;11214 - Abacavir;3866 - Antiviróticos;324880001;3866 - abacavir;544 - Estratégico;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23290 - Oral;23289 - Comprimido;23295 - sulfato de abacavir - 300.000 - mg (Miligrama);23288 - BR0268315;23296 - Sem Status de Controle Especial;23291 - comprimido.oral;;;;;;;;;;;
322547;@brasil14258676378;Abacavir 600 mg + Lamivudina 300 mg comprimido;288646 - Abacavir + Lamivudina;3883 - Antiviróticos;;3883 - lamivudina e abacavir;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;322549 - Oral;322548 - Comprimido;322551 - sulfato de abacavir - 600.000 - mg (Miligrama);322552 - lamivudina - 300.000 - mg (Miligrama);;322553 - Sem Status de Controle Especial;322550 - comprimido.oral;;;;;;;;;;
350954;@brasil15224574230;Abatacepte 125 mg/1 mL solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
780271;@brasil13729806302;Abatacepte 250 mg pó para solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
665916;@brasil10440089348;Abatacepte 250 mg pó para suspensão para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
780293;@brasil16177720655;Abciximabe 10 mg/5 mL solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
23297;@brasil10731260971;Abiraterona 250 mg comprimido;11215 - Abiraterona;4238 - Outros antineoplásicos;703904004;4238 - abiraterona;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23300 - Oral;23299 - Comprimido;23302 - acetato de abiraterona - 250.000 - mg (Miligrama);23298 - BR0412776;23303 - Sem Status de Controle Especial;23301 - comprimido.oral;;;;;;;;;;;
23304;@brasil15400639207;Acarbose 100 mg comprimido;11216 - Acarbose;1432 - Antidiabéticos;326038002;1432 - acarbose;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23307 - Oral;23306 - Comprimido;23309 - acarbose - 100.000 - mg (Miligrama);23305 - BR0354317;23310 - Sem Status de Controle Especial;23308 - comprimido.oral;;;;;;;;;;;
23311;@brasil14809413434;Acarbose 50 mg comprimido;11216 - Acarbose;1432 - Antidiabéticos;326037007;1432 - acarbose;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23314 - Oral;23313 - Comprimido;23316 - acarbose - 50.000 - mg (Miligrama);23312 - BR0268202;23317 - Sem Status de Controle Especial;23315 - comprimido.oral;;;;;;;;;;;
282112;@brasil11225715326;Acebrofilina 10 mg/mL xarope;65356 - Acebrofilina;;;;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;282115 - Oral;282114 - Xarope;282117 - acebrofilina - 10.000 - mg (Miligrama);282113 - BR0293892;282118 - Sem Status de Controle Especial;282116 - solução.oral;;;;;;;;;;;
346183;@brasil15361639804;Acebrofilina 5 mg/mL gel;65356 - Acebrofilina;;;;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;346185 - Oral;346184 - Gel;346187 - acebrofilina - 5.000 - mg (Miligrama);;346188 - Sem Status de Controle Especial;346186 - gel.oral;;;;;;;;;;;
