"id_vmpp";"codigo_obm";"nome_vmp";"vmp_nome";"qtd_vmp";"un_qtd_vmp";"catmats"
"588305";"@brasil14763029701";"Abacavir 20 mg/mL solução oral x 240 mL";"Abacavir 20 mg/mL solução oral";"240,000";"mL (Mililitro)";
"539062";"@brasil49346033141";"Abacavir 300 mg comprimido x 60 comprimidos";"Abacavir 300 mg comprimido";"60,000";"comprimido";
"538881";"@brasil79111710938";"Abacavir 600 mg + Lamivudina 300 mg comprimido x 30 comprimidos";"Abacavir 600 mg + Lamivudina 300 mg comprimido";"30,000";"comprimido";
"557730";"@brasil34102960097";"Abatacepte 125 mg/1 mL solução para injeção; seringa preenchida x 1 seringa";"Abatacepte 125 mg/1 mL solução para injeção; seringa preenchida";"1,000";"seringa";
"557731";"@brasil31578238402";"Abatacepte 125 mg/1 mL solução para injeção; seringa preenchida x 4 seringas";"Abatacepte 125 mg/1 mL solução para injeção; seringa preenchida";"4,000";"seringa";
"557732";"@brasil82815992417";"Abatacepte 250 mg pó para solução para injeção; frasco-ampola x 1 frasco-ampola";"Abatacepte 250 mg pó para solução para injeção; frasco-ampola";"1,000";"frasco-ampola";
"557733";"@brasil35241892449";"Abciximabe 10 mg/5 mL solução para injeção; frasco-ampola x 1 frasco-ampola";"Abciximabe 10 mg/5 mL solução para injeção; frasco-ampola";"1,000";"frasco-ampola";
"538882";"@brasil78811012067";"Abiraterona 250 mg comprimido x 120 comprimidos";"Abiraterona 250 mg comprimido";"120,000";"comprimido";
"538885";"@brasil79990080836";"Acarbose 100 mg comprimido x 30 comprimidos";"Acarbose 100 mg comprimido";"30,000";"comprimido";
"538883";"@brasil21311418451";"Acarbose 50 mg comprimido x 30 comprimidos";"Acarbose 50 mg comprimido";"30,000";"comprimido";
"538884";"@brasil17682518721";"Acebrofilina 10 mg/mL xarope x 100 mL";"Acebrofilina 10 mg/mL xarope";"100,000";"mL (Mililitro)";
"538886";"@brasil30065836310";"Acebrofilina 10 mg/mL xarope x 120 mL";"Acebrofilina 10 mg/mL xarope";"120,000";"mL (Mililitro)";
"538889";"@brasil28504493873";"Acebrofilina 10 mg/mL xarope x 6 L";"Acebrofilina 10 mg/mL xarope";"6,000";"L (Litro)";
"538887";"@brasil37741580204";"Acebrofilina 10 mg/mL xarope x 60 mL";"Acebrofilina 10 mg/mL xarope";"60,000";"mL (Mililitro)";
"538890";"@brasil79066995868";"Acebrofilina 10 mg/mL xarope x 7,2 L";"Acebrofilina 10 mg/mL xarope";"7,000";"L (Litro)";
"538888";"@brasil99581452382";"Acebrofilina 5 mg/mL gel x 120 mL";"Acebrofilina 5 mg/mL gel";"120,000";"mL (Mililitro)";
"538895";"@brasil31570122130";"Acebrofilina 5 mg/mL xarope x 100 mL";"Acebrofilina 5 mg/mL xarope";"100,000";"mL (Mililitro)";
"538891";"@brasil36371061214";"Acebrofilina 5 mg/mL xarope x 120 mL";"Acebrofilina 5 mg/mL xarope";"120,000";"mL (Mililitro)";
"538892";"@brasil61712831838";"Acebrofilina 5 mg/mL xarope x 6 L";"Acebrofilina 5 mg/mL xarope";"6,000";"L (Litro)";
"538893";"@brasil36897632138";"Acebrofilina 5 mg/mL xarope x 60 mL";"Acebrofilina 5 mg/mL xarope";"60,000";"mL (Mililitro)";
"538894";"@brasil15013183555";"Acebrofilina 5 mg/mL xarope x 7,2 L";"Acebrofilina 5 mg/mL xarope";"7,000";"L (Litro)";
"538896";"@brasil93763208917";"Aceclofenaco 100 mg comprimido x 12 comprimidos";"Aceclofenaco 100 mg comprimido";"12,000";"comprimido";
"538898";"@brasil32798238978";"Aceclofenaco 100 mg comprimido x 16 comprimidos";"Aceclofenaco 100 mg comprimido";"16,000";"comprimido";
"538897";"@brasil13228081839";"Aceclofenaco 100 mg comprimido x 24 comprimidos";"Aceclofenaco 100 mg comprimido";"24,000";"comprimido";
"538899";"@brasil16239266497";"Aceclofenaco 100 mg comprimido x 480 comprimidos";"Aceclofenaco 100 mg comprimido";"480,000";"comprimido";
"538900";"@brasil49918432940";"Aceclofenaco 100 mg comprimido x 6 comprimidos";"Aceclofenaco 100 mg comprimido";"6,000";"comprimido";
"538902";"@brasil51895135594";"Aceclofenaco 15 mg/g creme x 30 g";"Aceclofenaco 15 mg/g creme";"30,000";"g (Grama)";
"538901";"@brasil38735999054";"Aceponato de Metilprednisolona 1 mg/g creme x 15 g";"Aceponato de Metilprednisolona 1 mg/g creme";"15,000";"g (Grama)";
"557734";"@brasil43788055165";"Aceponato de Metilprednisolona 1 mg/g loção x 20 g";"Aceponato de Metilprednisolona 1 mg/g loção";"20,000";"g (Grama)";
"557735";"@brasil76395671518";"Aceponato de Metilprednisolona 1 mg/mL solução x 20 mL";"Aceponato de Metilprednisolona 1 mg/mL solução";"20,000";"mL (Mililitro)";
"538903";"@brasil42596277928";"Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme vaginal x 45 g";"Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme vaginal";"45,000";"g (Grama)";
