"id_vtm";"codigo_obm";"nome_vtm";"nome_vtm_abreviado";"ingredientes_cod_nome"
"11214";"@brasil17393498118";"Abacavir";;"6644 - abacavir"
"288646";"@brasil19377654108";"Abacavir + Lamivudina";;"6644 - abacavir,9176 - lamivudina"
"42686";"@brasil17499565571";"Abatacepte";;"6645 - abatacepte"
"288647";"@brasil14183248814";"Abciximabe";;"6646 - abciximabe"
"11215";"@brasil10435971058";"Abiraterona";;"6648 - abiraterona"
"11216";"@brasil19999361241";"Acarbose";;"6650 - acarbose"
"65356";"@brasil19093546063";"Acebrofilina";;
"11217";"@brasil18688893343";"Aceclofenaco";;
"42687";"@brasil10471653909";"Aceponato de Metilprednisolona";;
"11218";"@brasil13446383301";"Acetato de Ciproterona + Valerato de Estradiol";;
"11219";"@brasil11165236784";"Acetato de Noretisterona";;
"42688";"@brasil19859573140";"Acetato de Sódio";;
"42689";"@brasil17882904285";"Acetato de Zinco";;
"11222";"@brasil13236205234";"Acetazolamida";;
"11223";"@brasil14362641743";"Acetilcisteína";;
"42690";"@brasil19835802314";"Acetilcisteína + Tuaminoeptano";;
"288648";"@brasil12783282055";"Acetilmetionina";;
"11224";"@brasil12104593320";"Aciclovir";;
"790516";"@brasil12850517827";"Ácido Acético";;
"11225";"@brasil17435041680";"Ácido Acetilsalicílico";;
"288651";"@brasil18317382164";"Ácido Acetilsalicílico + Ácido Ascórbico";;
"288652";"@brasil16136486562";"Ácido Acetilsalicílico + Cafeína";;
"288653";"@brasil15730286626";"Ácido Acetilsalicílico + Carbonato de Magnésio + Glicinato de Alumínio";;
"288656";"@brasil19369125019";"Ácido Acetilsalicílico + Dexcloferniramina + Fenilefrina + Cafeína";;
"11226";"@brasil10861428752";"Ácido Acetilsalicílico + Mononitrato de Isossorbida";;
"288657";"@brasil14788597825";"Ácido Acetilsalicílico + Paracetamol + Cafeína";;
"11227";"@brasil12002019026";"Ácido Alendrônico";;
"11228";"@brasil17425809181";"Ácido Alendrônico + Carbonato de Cálcio + Colecalciferol";;
"11229";"@brasil11122989142";"Ácido Alendrônico + Colecalciferol";;
"42691";"@brasil15530299026";"Ácido Aminocaproico";;
"11230";"@brasil13337518472";"Ácido Ascórbico";;
"790517";"@brasil14537942877";"Ácido Ascórbico + Alfatocoferol + Zinco + Selênio + Retinol";;
"288660";"@brasil16554550747";"Ácido Ascórbico + Carbonato de Cálcio";;
