"CO_SEQ_ID";"NU_VTMID";"DT_VTMIDDT";"CO_VTMIDPREV";"ST_INVALID";"NO_NM";"NO_ABBREVNM";"AU_AUDIT_CREATE_DATETIME";"AU_AUDIT_CHANGE_DATETIME";"AU_AUDIT_CREATE_USERNAME";"AU_AUDIT_CHANGE_USERNAME";"NU_VERSION";"ST_REGISTRO_ATIVO";"ST_CHANGE_APPROVE"
"11214";"@brasil17393498118";;;;"Abacavir";;"1485171345";"1671461304";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11215";"@brasil10435971058";;;;"Abiraterona";;"1485171345";"1643406951";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11216";"@brasil19999361241";;;;"Acarbose";;"1485171345";"1643406961";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11217";"@brasil18688893343";;;;"Aceclofenaco";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11218";"@brasil13446383301";;;;"Acetato de Ciproterona + Valerato de Estradiol";;"1485171345";"1643252337";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11219";"@brasil11165236784";;;;"Acetato de Noretisterona";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11220";"@brasil15487034324";;;;"Estradiol + Acetato de Noretisterona";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11221";"@brasil13939461579";;;;"Etinilestradiol + Acetato de Noretisterona";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11222";"@brasil13236205234";;;;"Acetazolamida";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11223";"@brasil14362641743";;;;"Acetilcisteína";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11224";"@brasil12104593320";;;;"Aciclovir";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11225";"@brasil17435041680";;;;"Ácido Acetilsalicílico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11226";"@brasil10861428752";;;;"Ácido Acetilsalicílico + Mononitrato de Isossorbida";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11227";"@brasil12002019026";;;;"Ácido Alendrônico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11228";"@brasil17425809181";;;;"Ácido Alendrônico + Carbonato de Cálcio + Colecalciferol";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11229";"@brasil11122989142";;;;"Ácido Alendrônico + Colecalciferol";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11230";"@brasil13337518472";;;;"Ácido Ascórbico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11231";"@brasil13318625243";;;;"Ácido Ascórbico + Zinco";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11232";"@brasil16580571108";;;;"Ácido Fólico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11233";"@brasil12946980122";;;;"Ferripolimaltose + Ácido Fólico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11234";"@brasil14993187592";;;;"Glicinato Férrico + Ácido Fólico ";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11235";"@brasil16124997906";;;;"Ácido Fólico + Piridoxina + Cianocobalamina";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11236";"@brasil15645427064";;;;"Ácido Ibandrônico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11237";"@brasil19852141912";;;;"Ácido Mefenâmico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11238";"@brasil12324428680";;;;"Ácido Micofenólico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11239";"@brasil12065717969";;;;"Ácido Nalidíxico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11240";"@brasil13355304116";;;;"Ácido Nicotínico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11241";"@brasil10579366981";;;;"Ácido Tióctico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11242";"@brasil12830922865";;;;"Ácido Tranexâmico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11243";"@brasil12416513693";;;;"Ácido Ursodesoxicólico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11244";"@brasil13589800179";;;;"Ácido Valproico";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11245";"@brasil10699460124";;;;"Acitretina";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11246";"@brasil12727900390";;;;"Adefovir";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11247";"@brasil11541121891";;;;"Aesculus hippocastanum L. (Castanha da Índia)";;"1485171345";"1649354916";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11248";"@brasil19521908590";;;;"Agomelatina";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11249";"@brasil12986177589";;;;"Albendazol";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11250";"@brasil16365162483";;;;"Alfacalcidol";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11251";"@brasil12867279957";;;;"Alfuzosina";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11252";"@brasil15240912645";;;;"Alisquireno";;"1485171345";"1485171345";"anonymous";"1";"0";"ACTIVE";"APPROVED"
"11253";"@brasil17602723665";;;;"Alisquireno + Hidroclorotiazida";;"1485171345";"1643252244";"anonymous";"1";"0";"ACTIVE";"APPROVED"
