CATMAT;Name;RENAME;COMPONENTE
BR0436603; ADAPALENO, 1 MG/G, GEL;FALSE;OUTRO
BR0438040; ENROFLOXACINO  2,5% MG INJ (FR) 20 ML;FALSE;OUTRO
BR0291019-1; HIALURONIDASE + LIDOCAÍNA + NEOMICINA SULFATO 100 UTR + 50 + 5 MG/ML SOLUÇÃO OTOLÓGICA 8 ML;TRUE;BASICO
BR0480127; LANSOPRAZOL, ASSOCIADA À AMOXICILINA E LEVOFLOXACINO 30MG + 500MG + 500MG CÁPSULA ;FALSE;OUTRO
BR0430083; ROSMARINUS OFFICINALIS (ALECRIM) 20 % TINTURA 30 ML;FALSE;OUTRO
BR0430083U0041; ROSMARINUS OFFICINALIS (ALECRIM) 50 G DROGA VEGETAL;FALSE;OUTRO
BR0268317U0087;ABACAVIR 20 MG/ML SOLUÇÃO ORAL 240 ML;TRUE;ESTRATEGICO
BR0268315U0042;ABACAVIR 300 MG COMPRIMIDO;TRUE;ESTRATEGICO
BR0434765U0234;ABATACEPTE 125 MG/ML SOL INJ (SER PREENC) 1 ML GRUPO 1.A;TRUE;ESPECIALIZADO
BR0365451;ABATACEPTE 250 MG PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;TRUE;BASICO
BR0365451U0118;ABATACEPTE 250 MG PÓ P/ SUSP INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0268368U0106;ABCIXIMABE 2 MG/ML SOL INJ (FR) 5 ML;TRUE;OUTRO
BR0461326;ABEMACICLIBE 150 MG COMPRIMIDO;FALSE;BASICO
BR0412776;ABIRATERONA, ACETATO 250 MG COMPRIMIDO;FALSE;OUTRO
BR0458278;ACALABRUTINIBE 100 MG CÁPSULA ;FALSE;OUTRO
BR0354317;ACARBOSE 100 MG COMPRIMIDO ELENCO ESTADUAL ;FALSE;OUTRO
BR0268202;ACARBOSE 50 MG COMPRIMIDO;FALSE;OUTRO
BR0293892U0062;ACEBROFILINA 10 MG/ML XAROPE  100 ML;FALSE;OUTRO
BR0293892U0067;ACEBROFILINA 10 MG/ML XAROPE  120 ML;FALSE;BASICO
BR0448838U0062;ACEBROFILINA 5 MG/ML XAROPE  100 ML;FALSE;BASICO
BR0448838U0067;ACEBROFILINA 5 MG/ML XAROPE  120 ML;FALSE;BASICO
BR0271666;ACECLOFENACO 100 MG COMPRIMIDO;FALSE;OUTRO
BR0407500;ACEPROMAZINA 0,2 % INJ (FR) 20 ML;FALSE;OUTRO
BR0407498;ACEPROMAZINA 1 % INJ (FR) 20 ML;FALSE;OUTRO
BR0386044;ACETATO DE CÁLCIO 500 MG COMPRIMIDO;FALSE;OUTRO
BR0334381;ACETATO DE CÁLCIO 667 MG COMPRIMIDO;FALSE;OUTRO
BR0276774U0004;ACETATO DE SODIO 2 MEQ/ML SOLUÇÃO INJETÁVEL 10 ML;TRUE;BASICO
BR0338332;ACETATO DE ZINCO 0,5 MEQ/ML SOLUÇÃO INJETÁVEL 2 ML;FALSE;OUTRO
