SourceTermId;SourceTerm
@brasil87965832;solução para injeção de liberação prolongada
7946007;Suspensão
11190007;Bastão
37937005;Pasta
66076007;Comprimido mastigável
70409003;Colutório
77899000;Solução
85581007;Pó
103329007;Não disponível
385023001;Solução oral
385024007;Suspensão oral
385026009;Pó para solução oral
385027000;Pó para suspensão oral
385028005;Granulado para solução
385029002;Granulado para suspensão
385032004;Xarope
385035002;Comprimido para solução
385036001;Comprimido para suspensão
385042002;Pó efervescente
385043007;Granulado
385044001;Granulado efervescente
385046004;Granulado de liberação prolongada
385049006;Cápsula
385051005;Cápsula mole
385053008;Cápsula de liberação prolongada
385054002;Cápsula de liberação modificada
385055001;Comprimido
385058004;Comprimido efervescente
385060002;Comprimido de liberação prolongada
385061003;Comprimido de liberação modificada
385084005;Comprimido sublingual
385099005;Creme
385100002;Gel
385101003;Pomada
385104006;Xampu
385114002;Adesivo Transdérmico
385116000;Esmalte
385117009;Emplastro
385123004;Pomada oftálmica
385165005;Creme vaginal
385167002;Pomada vaginal
385170003;Solução vaginal
385171004;Suspensão vaginal
385172006;Emulsão vaginal
385174007;Óvulo
385178005;Comprimido vaginal 
385186005;Enema
385187001;Solução retal
385194003;Supositório
385207009;Pó para inalação
385217004;Gás
385219001;Solução para injeção
385220007;Suspensão para injeção
385221006;Emulsão para injeção
385223009;Pó para solução para injeção
385224003;Pó para suspensão para injeção
385229008;Solução para infusão
385231004;Pó para solução para infusão
385286003;Implante
385432009;Não aplicável
414951009;Elixir
420386007;Emulsão
420460001;Filme
420641004;Solução para inalação
420699003;Líquido
420757007;Granulado de liberação retardada
420954008;Glóbulo
420955009;Pó para solução
421027002;Cápsula de liberação retardada
421079001;Pastilha gomosa
421080003;Pó para suspensão
421104008;Pó aerossol
421166008;Espuma
421221008;Suspensão para inalação
421374000;Comprimido de liberação retardada
421382000;Suspensão otológica
421713001;Solução otológica
421890007;Óleo
422336005;Solução nasal
422353003;Suspensão de liberação prolongada
426210003;Goma de mascar
429885007;Barra
447079001;Comprimido orodispersível
@brasil37603518364;Anel
@brasil93552987144;Cápsula mole de liberação prolongada
@brasil44682603366;Cápsula mole de liberação retardada
@brasil70300988445;Cápsula para inalação
@brasil36136653465;Colutório spray
@brasil81237140067;Comprimido para colutório
@brasil29920873591;Emulsão spray
@brasil58247603773;Pó para colutório
@brasil63942867859;Pó para suspensão para injeção de liberação prolongada
@brasil15821021611;Rasura
@brasil90534427806;Sabonete
@brasil25602625035;Sabonete líquido
@brasil63807663945;Solução aerossol
@brasil80799640150;Solução concentrada
@brasil96699270294;Solução concentrada para colutório
@brasil18206528741;Solução concentrada para infusão
@brasil63043596776;Solução concentrada para injeção
@brasil42624365486;Solução de liberação prolongada
@brasil72847338954;Solução oftálmica
@brasil81119980070;Solução spray
@brasil23943043621;Suspensão aerossol
@brasil81634663837;Suspensão de liberação retardada
@brasil18398321796;Suspensão para infusão
@brasil31420910599;Suspensão para injeção de liberação prolongada
@brasil20082225321;Suspensão spray
@brasil91072262821;Tablete
1,49551E+16;Emulsão para infusão
1,61751E+16;Dispositivo intra-uterino
385059007;Comprimido gastrorresistente
@brasil6125846235;Gel de liberação prolongada
@brasil9666;emulsão oftálmica
@brasil6596565;pastilha
385052003;Cápsula gastrorresistente
420736004;suspensão oftálmica
385122009;Gel oftálmico
385166006;Gel vaginal
422080000;Suspensão nasal
7,37591E+15;Pó e diluente para solução para injeção
7,37601E+15;Pó e diluente para suspensão para injeção
3,09511E+15;Tintura
17519006;Loção
385222004;pó para injeção
@brasil63256923;pó e diluente para injeção
@brasil671309453;implante de liberação prolongada
63316001;linimento
@brasil564024139;gel creme
385188006;suspensão retal
385025008;emulsão oral
426837007;Inalante
@brasil43029831;Bálsamo
@brasil256977325;pó e diluente para suspensão para injeção de liberação prolongada
