SourceTermId;SourceTerm
61397002;Subcapsular
404818005;intratraqueal
10547007;Otológica
54471007;Bucal
6064005;Dermatológica
372450004;Endocervical
372451000;Endosinusial
372452007;Endotraqueopulmonar
404820008;Epidural
18246711000001100;Epilesional
372453002;Extra-amniótica
372454008;Gastroenteral
18682911000001100;Hemodiálise
10334211000001100;Hemofiltração
18679011000001100;Inalatória
372458006;Intra-amniótica
58100008;Intra-arterial
12130007;Intra-articular
372459003;Intra-bursal
418821007;Intracameral
372460008;Intracardíaca
372461007;Intracavernosa
420719007;Intracerebroventricular
19537211000001100;Intracervical
372463005;Intracoronariana
372464004;Intradérmica
372465003;Intradiscal
448077001;Intraepidermal
372466002;Intralesional
372467006;Intralinfática
78421000;Intramuscular
372468001;Intra-ocular
417255000;Intra-óssea
38239002;Intraperitoneal
372469009;Intrapleural
372470005;Intrasternal
72607000;Intratecal
62226000;Intrauterina
47625008;Intravenosa
420287000;Intraventricular cardíaca
372471009;Intravesical
418401004;Intravítreal
21856811000001100;Iontoforese
67889009;Irrigação
46713006;Nasal
@brasil98529285992;Inalatória por Via Nasal
54485002;Oftálmica
26643006;Oral
@brasil65949984982;Inalatória por Via Oral
372473007;Mucosa oral
372474001;Periarticular
372475000;Perineural
37161004;Retal
11564311000001100;Perfusão regional
3594011000001100;Via de administração não aplicável
372476004;Subconjuntival
34206005;Subcutânea
37839007;Sublingual
11564211000001100;Submucosa retal
45890007;Transdérmica
90028008;Uretral
16857009;Vaginal
@brasil27835245546;Capilar
103329007;Não disponível
419778001;Intrabronquial
447080003;peridural
@brasil95738ing;espinhal
@brasil188705350;Subtenoniana
@brasil725614414;Tecidos moles
@brasil127302302;Mucosa oral
418321004;Retrobulbar
718329006;Infiltração
313268005;Mucosa
418877009;Intrassinovial 
